#: table_doi: 10.17182/hepdata.90831.v1/t427
#: name: table no 427
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transmin region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_427.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.489,0.014,-0.014,0.03,-0.03,0.021,-0.021
0.195,0.1,0.29,0.598,0.016,-0.016,0.02,-0.02,0.018,-0.018
0.385,0.29,0.48,0.683,0.015,-0.015,0.024,-0.024,0.015,-0.015
0.575,0.48,0.67,0.653,0.012,-0.012,0.014,-0.014,0.01,-0.01
0.765,0.67,0.86,0.582,0.011,-0.011,0.012,-0.012,0.007,-0.007
0.9550000000000001,0.86,1.05,0.4902,0.0097,-0.0097,0.0096,-0.0096,0.0052,-0.0052
1.145,1.05,1.24,0.3893,0.0082,-0.0082,0.0102,-0.0102,0.0047,-0.0047
1.335,1.24,1.43,0.317,0.007,-0.007,0.013,-0.013,0.006,-0.006
1.525,1.43,1.62,0.2584,0.0062,-0.0062,0.0101,-0.0101,0.0077,-0.0077
1.715,1.62,1.81,0.1971,0.0056,-0.0056,0.0108,-0.0108,0.0077,-0.0077
1.91,1.81,2.01,0.1481,0.0048,-0.0048,0.0088,-0.0088,0.0065,-0.0065
2.105,2.01,2.2,0.1122,0.0044,-0.0044,0.0049,-0.0049,0.0052,-0.0052
2.295,2.2,2.39,0.0737,0.0029,-0.0029,0.0053,-0.0053,0.0052,-0.0052
2.4850000000000003,2.39,2.58,0.0562,0.0028,-0.0028,0.0046,-0.0046,0.0047,-0.0047
2.675,2.58,2.77,0.0404,0.0024,-0.0024,0.0051,-0.0051,0.0041,-0.0041
2.865,2.77,2.96,0.0273,0.0018,-0.0018,0.0046,-0.0046,0.0033,-0.0033
3.0549999999999997,2.96,3.15,0.0267,0.0024,-0.0024,0.0038,-0.0038,0.0029,-0.0029
3.245,3.15,3.34,0.0165,0.0016,-0.0016,0.0013,-0.0013,0.0027,-0.0027
3.4349999999999996,3.34,3.53,0.0133,0.0014,-0.0014,0.0012,-0.0012,0.0026,-0.0026
3.625,3.53,3.72,0.0153,0.0032,-0.0032,0.0004,-0.0004,0.0025,-0.0025
3.8200000000000003,3.72,3.92,0.0079,0.0017,-0.0017,0.0007,-0.0007,0.003,-0.003
4.015000000000001,3.92,4.11,0.009,0.002,-0.002,0.001,-0.001,0.002,-0.002
4.205,4.11,4.3,0.0048,0.0018,-0.0018,0.0008,-0.0008,0.0029,-0.0029

