#: table_doi: 10.17182/hepdata.90831.v1/t252
#: name: table no 252
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),toward region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_252.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.084,0.027,-0.027,0.017,-0.017,0.014,-0.014
0.095,0.05,0.14,0.074,0.027,-0.027,0.004,-0.004,0.021,-0.021
0.19,0.14,0.24,0.2,0.04,-0.04,0.07,-0.07,0.02,-0.02
0.28500000000000003,0.24,0.33,0.156,0.023,-0.023,0.097,-0.097,0.044,-0.044
0.38,0.33,0.43,0.336,0.045,-0.045,0.035,-0.035,0.065,-0.065
0.48,0.43,0.53,0.373,0.045,-0.045,0.065,-0.065,0.088,-0.088
0.575,0.53,0.62,0.452,0.054,-0.054,0.033,-0.033,0.078,-0.078
0.6699999999999999,0.62,0.72,0.504,0.044,-0.044,0.101,-0.101,0.068,-0.068
0.765,0.72,0.81,0.43,0.05,-0.05,0.04,-0.04,0.05,-0.05
0.8600000000000001,0.81,0.91,0.566,0.049,-0.049,0.087,-0.087,0.056,-0.056
0.9550000000000001,0.91,1.0,0.425,0.045,-0.045,0.024,-0.024,0.051,-0.051
1.05,1.0,1.1,0.424,0.033,-0.033,0.096,-0.096,0.054,-0.054
1.145,1.1,1.19,0.489,0.041,-0.041,0.014,-0.014,0.054,-0.054
1.24,1.19,1.29,0.444,0.037,-0.037,0.086,-0.086,0.048,-0.048
1.335,1.29,1.38,0.403,0.038,-0.038,0.088,-0.088,0.046,-0.046
1.43,1.38,1.48,0.526,0.049,-0.049,0.018,-0.018,0.055,-0.055
1.53,1.48,1.58,0.576,0.052,-0.052,0.074,-0.074,0.061,-0.061
1.625,1.58,1.67,0.45,0.036,-0.036,0.09,-0.09,0.058,-0.058
1.72,1.67,1.77,0.391,0.037,-0.037,0.084,-0.084,0.051,-0.051
1.815,1.77,1.86,0.324,0.041,-0.041,0.012,-0.012,0.046,-0.046
1.9100000000000001,1.86,1.96,0.217,0.027,-0.027,0.094,-0.094,0.043,-0.043
2.005,1.96,2.05,0.259,0.026,-0.026,0.044,-0.044,0.036,-0.036
2.0999999999999996,2.05,2.15,0.22,0.03,-0.03,0.09,-0.09,0.04,-0.04
2.1950000000000003,2.15,2.24,0.155,0.023,-0.023,0.026,-0.026,0.042,-0.042
2.29,2.24,2.34,0.22,0.03,-0.03,0.04,-0.04,0.04,-0.04
2.3899999999999997,2.34,2.44,0.2,0.022,-0.022,0.064,-0.064,0.03,-0.03
2.485,2.44,2.53,0.178,0.037,-0.037,0.11,-0.11,0.029,-0.029
2.58,2.53,2.63,0.202,0.031,-0.031,0.014,-0.014,0.044,-0.044
2.7249999999999996,2.63,2.82,0.153,0.023,-0.023,0.015,-0.015,0.027,-0.027
2.915,2.82,3.01,0.09,0.02,-0.02,0.02,-0.02,0.03,-0.03
3.105,3.01,3.2,0.059,0.014,-0.014,0.017,-0.017,0.024,-0.024
3.295,3.2,3.39,0.099,0.021,-0.021,0.024,-0.024,0.019,-0.019
3.4850000000000003,3.39,3.58,0.074,0.014,-0.014,0.025,-0.025,0.025,-0.025
3.725,3.58,3.87,0.0297,0.0095,-0.0095,0.0286,-0.0286,0.0185,-0.0185
4.105,3.87,4.34,0.0196,0.0058,-0.0058,0.0049,-0.0049,0.0104,-0.0104

