#: table_doi: 10.17182/hepdata.90831.v1/t143
#: name: table no 143
#: description: Figure 04c,  sumPt transmin_zptregion2, $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_143.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.937,0.0031,-0.0031,0.0478,-0.0478,0.0163,-0.0163
0.48,0.29,0.67,0.6226,0.0026,-0.0026,0.0318,-0.0318,0.0099,-0.0099
0.8600000000000001,0.67,1.05,0.464,0.002,-0.002,0.024,-0.024,0.007,-0.007
1.24,1.05,1.43,0.3042,0.0015,-0.0015,0.0155,-0.0155,0.0048,-0.0048
1.62,1.43,1.81,0.1944,0.0013,-0.0013,0.01,-0.01,0.0043,-0.0043
2.005,1.81,2.2,0.123,0.001,-0.001,0.006,-0.006,0.004,-0.004
2.39,2.2,2.58,0.07652,0.00076,-0.00076,0.00405,-0.00405,0.00309,-0.00309
2.77,2.58,2.96,0.04735,0.00058,-0.00058,0.0025,-0.0025,0.00235,-0.00235
3.15,2.96,3.34,0.02845,0.00047,-0.00047,0.00149,-0.00149,0.00184,-0.00184
3.5300000000000002,3.34,3.72,0.01851,0.00036,-0.00036,0.00096,-0.00096,0.00147,-0.00147
4.2,3.72,4.68,0.00879,0.00022,-0.00022,0.00045,-0.00045,0.00047,-0.00047
5.0600000000000005,4.68,5.44,0.00315,0.00014,-0.00014,0.00016,-0.00016,0.0004,-0.0004

