#: table_doi: 10.17182/hepdata.90831.v1/t304
#: name: table no 304
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmin region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_304.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.315,0.004,-0.004,0.02,-0.02,0.015,-0.015
0.48,0.29,0.67,0.4789,0.0044,-0.0044,0.0214,-0.0214,0.0097,-0.0097
0.8600000000000001,0.67,1.05,0.53,0.004,-0.004,0.01,-0.01,0.007,-0.007
1.24,1.05,1.43,0.4406,0.0035,-0.0035,0.0071,-0.0071,0.0044,-0.0044
1.62,1.43,1.81,0.3261,0.0029,-0.0029,0.0075,-0.0075,0.0038,-0.0038
2.005,1.81,2.2,0.2186,0.0024,-0.0024,0.0078,-0.0078,0.0048,-0.0048
2.39,2.2,2.58,0.142,0.0017,-0.0017,0.0078,-0.0078,0.0048,-0.0048
2.77,2.58,2.96,0.0892,0.0014,-0.0014,0.0043,-0.0043,0.004,-0.004
3.15,2.96,3.34,0.0565,0.0011,-0.0011,0.0017,-0.0017,0.0028,-0.0028
3.5300000000000002,3.34,3.72,0.03618,0.00082,-0.00082,0.00211,-0.00211,0.00261,-0.00261
4.2,3.72,4.68,0.01664,0.00046,-0.00046,0.00112,-0.00112,0.00084,-0.00084
5.0600000000000005,4.68,5.44,0.0059,0.0003,-0.0003,0.0006,-0.0006,0.0008,-0.0008

