#: table_doi: 10.17182/hepdata.90831.v1/t261
#: name: table no 261
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transverse region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_261.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0,0,0,0.002182,-0.002182,0,0
0.095,0.05,0.14,0,0,0,0.004408,-0.004408,0,0
0.19,0.14,0.24,0,0,0,0.007054,-0.007054,0,0
0.28500000000000003,0.24,0.33,0,0,0,0.007578,-0.007578,0.015875,-0.015875
0.38,0.33,0.43,0.024,0.042,-0.042,0.015,-0.015,0.031,-0.031
0.48,0.43,0.53,0.2,0.1,-0.1,0,0,0.1,-0.1
0.575,0.53,0.62,0.059,0.046,-0.046,0.021,-0.021,0.084,-0.084
0.6699999999999999,0.62,0.72,0.23,0.11,-0.11,0.09,-0.09,0.08,-0.08
0.765,0.72,0.81,0.002,0.013,-0.013,0.017,-0.017,0.084,-0.084
0.8600000000000001,0.81,0.91,0.14,0.087,-0.087,0.023,-0.023,0.067,-0.067
0.9550000000000001,0.91,1.0,0.01,0.016,-0.016,0.014,-0.014,0.147,-0.147
1.05,1.0,1.1,0.51,0.15,-0.15,0.04,-0.04,0.17,-0.17
1.145,1.1,1.19,0.23,0.13,-0.13,0.01,-0.01,0.2,-0.2
1.24,1.19,1.29,0.18,0.11,-0.11,0.01,-0.01,0.2,-0.2
1.335,1.29,1.38,0.42,0.13,-0.13,0.09,-0.09,0.28,-0.28
1.43,1.38,1.48,0.33,0.11,-0.11,0.36,-0.36,0.29,-0.29
1.53,1.48,1.58,0.27,0.085,-0.085,0.116,-0.116,0.222,-0.222
1.625,1.58,1.67,0.133,0.046,-0.046,0.021,-0.021,0.138,-0.138
1.72,1.67,1.77,0.28,0.11,-0.11,0.03,-0.03,0.19,-0.19
1.815,1.77,1.86,0.48,0.15,-0.15,0.25,-0.25,0.22,-0.22
1.9100000000000001,1.86,1.96,0.257,0.086,-0.086,0.021,-0.021,0.25,-0.25
2.005,1.96,2.05,0.348,0.094,-0.094,0.139,-0.139,0.208,-0.208
2.0999999999999996,2.05,2.15,0.45,0.11,-0.11,0.04,-0.04,0.28,-0.28
2.1950000000000003,2.15,2.24,0.41,0.15,-0.15,0.02,-0.02,0.33,-0.33
2.29,2.24,2.34,0.46,0.13,-0.13,0.19,-0.19,0.32,-0.32
2.3899999999999997,2.34,2.44,0.234,0.094,-0.094,0.16,-0.16,0.265,-0.265
2.485,2.44,2.53,0.32,0.12,-0.12,0.63,-0.63,0.26,-0.26
2.58,2.53,2.63,0.51,0.17,-0.17,0.4,-0.4,0.37,-0.37
2.7249999999999996,2.63,2.82,0.46,0.11,-0.11,0.06,-0.06,0.19,-0.19
2.915,2.82,3.01,0.178,0.051,-0.051,0.154,-0.154,0.188,-0.188
3.105,3.01,3.2,0.139,0.066,-0.066,0.258,-0.258,0.125,-0.125
3.295,3.2,3.39,0.144,0.056,-0.056,0.254,-0.254,0.129,-0.129
3.4850000000000003,3.39,3.58,0.278,0.087,-0.087,0.327,-0.327,0.088,-0.088
3.725,3.58,3.87,0.084,0.039,-0.039,0.129,-0.129,0.066,-0.066
4.105,3.87,4.34,0.099,0.033,-0.033,0.113,-0.113,0.024,-0.024

