#: table_doi: 10.17182/hepdata.90831.v1/t284
#: name: table no 284
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),away region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_284.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.0002,0.0022,-0.0022,0.0005,-0.0005,0.0003,-0.0003
0.095,0.05,0.14,0.0009,0.0023,-0.0023,0.0003,-0.0003,0.0112,-0.0112
0.19,0.14,0.24,0.018,0.036,-0.036,0,0,0.015,-0.015
0.28500000000000003,0.24,0.33,0.033,0.015,-0.015,0.005,-0.005,0.02,-0.02
0.38,0.33,0.43,0.032,0.013,-0.013,0.002,-0.002,0.013,-0.013
0.48,0.43,0.53,0.017,0.011,-0.011,0.008,-0.008,0.02,-0.02
0.575,0.53,0.62,0.109,0.033,-0.033,0.009,-0.009,0.017,-0.017
0.6699999999999999,0.62,0.72,0.049,0.015,-0.015,0.008,-0.008,0.022,-0.022
0.765,0.72,0.81,0.089,0.032,-0.032,0.06,-0.06,0.038,-0.038
0.8600000000000001,0.81,0.91,0.112,0.023,-0.023,0.053,-0.053,0.047,-0.047
0.9550000000000001,0.91,1.0,0.111,0.025,-0.025,0.025,-0.025,0.049,-0.049
1.05,1.0,1.1,0.136,0.035,-0.035,0.026,-0.026,0.041,-0.041
1.145,1.1,1.19,0.169,0.028,-0.028,0.031,-0.031,0.035,-0.035
1.24,1.19,1.29,0.144,0.019,-0.019,0.044,-0.044,0.035,-0.035
1.335,1.29,1.38,0.212,0.026,-0.026,0.045,-0.045,0.033,-0.033
1.43,1.38,1.48,0.177,0.025,-0.025,0.029,-0.029,0.035,-0.035
1.53,1.48,1.58,0.221,0.027,-0.027,0.053,-0.053,0.041,-0.041
1.625,1.58,1.67,0.302,0.054,-0.054,0.047,-0.047,0.043,-0.043
1.72,1.67,1.77,0.232,0.033,-0.033,0.025,-0.025,0.044,-0.044
1.815,1.77,1.86,0.251,0.026,-0.026,0.023,-0.023,0.036,-0.036
1.9100000000000001,1.86,1.96,0.262,0.035,-0.035,0.034,-0.034,0.036,-0.036
2.005,1.96,2.05,0.293,0.024,-0.024,0.024,-0.024,0.04,-0.04
2.0999999999999996,2.05,2.15,0.28,0.031,-0.031,0.112,-0.112,0.06,-0.06
2.1950000000000003,2.15,2.24,0.426,0.039,-0.039,0.083,-0.083,0.059,-0.059
2.29,2.24,2.34,0.333,0.037,-0.037,0.096,-0.096,0.06,-0.06
2.3899999999999997,2.34,2.44,0.348,0.028,-0.028,0.024,-0.024,0.047,-0.047
2.485,2.44,2.53,0.326,0.035,-0.035,0.037,-0.037,0.046,-0.046
2.58,2.53,2.63,0.338,0.035,-0.035,0.032,-0.032,0.058,-0.058
2.7249999999999996,2.63,2.82,0.374,0.032,-0.032,0.056,-0.056,0.029,-0.029
2.915,2.82,3.01,0.421,0.032,-0.032,0.047,-0.047,0.03,-0.03
3.105,3.01,3.2,0.262,0.025,-0.025,0.037,-0.037,0.028,-0.028
3.295,3.2,3.39,0.26,0.025,-0.025,0.046,-0.046,0.021,-0.021
3.4850000000000003,3.39,3.58,0.193,0.021,-0.021,0.013,-0.013,0.02,-0.02
3.725,3.58,3.87,0.181,0.018,-0.018,0.011,-0.011,0.011,-0.011
4.105,3.87,4.34,0.145,0.014,-0.014,0.018,-0.018,0.009,-0.009

