#: table_doi: 10.17182/hepdata.90831.v1/t291
#: name: table no 291
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_291.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.107,0.016,-0.016,0.014,-0.014,0.011,-0.011
0.23500000000000001,0.14,0.33,0.197,0.017,-0.017,0.016,-0.016,0.009,-0.009
0.43000000000000005,0.33,0.53,0.328,0.021,-0.021,0.018,-0.018,0.01,-0.01
0.625,0.53,0.72,0.359,0.018,-0.018,0.016,-0.016,0.011,-0.011
0.815,0.72,0.91,0.372,0.018,-0.018,0.023,-0.023,0.012,-0.012
1.0050000000000001,0.91,1.1,0.373,0.019,-0.019,0.014,-0.014,0.013,-0.013
1.195,1.1,1.29,0.394,0.018,-0.018,0.027,-0.027,0.009,-0.009
1.385,1.29,1.48,0.398,0.018,-0.018,0.021,-0.021,0.007,-0.007
1.575,1.48,1.67,0.332,0.014,-0.014,0.006,-0.006,0.009,-0.009
1.7650000000000001,1.67,1.86,0.331,0.017,-0.017,0.015,-0.015,0.018,-0.018
2.1,1.86,2.34,0.289,0.011,-0.011,0.005,-0.005,0.01,-0.01
2.5300000000000002,2.34,2.72,0.218,0.012,-0.012,0.006,-0.006,0.011,-0.011
2.91,2.72,3.1,0.1198,0.0079,-0.0079,0.0049,-0.0049,0.0081,-0.0081
3.295,3.1,3.49,0.0903,0.0067,-0.0067,0.0019,-0.0019,0.0054,-0.0054
3.68,3.49,3.87,0.0624,0.0048,-0.0048,0.0103,-0.0103,0.0064,-0.0064
4.105,3.87,4.34,0.0662,0.0055,-0.0055,0.0009,-0.0009,0.0052,-0.0052
4.58,4.34,4.82,0.033,0.004,-0.004,0.008,-0.008,0.007,-0.007
5.0600000000000005,4.82,5.3,0.0159,0.0027,-0.0027,0.0023,-0.0023,0.0053,-0.0053
5.54,5.3,5.78,0.0121,0.0016,-0.0016,0.0056,-0.0056,0.0049,-0.0049

