#: table_doi: 10.17182/hepdata.90831.v1/t34
#: name: table no 34
#: description: transmax region : hight thrust ($0.75\leq T$) Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_34.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.1313,0.0026,-0.0026,0.0186,-0.0186,0.0443,-0.0443
15.0,10.0,20.0,1.3718,0.0038,-0.0038,0.0214,-0.0214,0.198,-0.198
30.0,20.0,40.0,1.7007,0.0053,-0.0053,0.0264,-0.0264,0.0655,-0.0655
50.0,40.0,60.0,2.104,0.011,-0.011,0.032,-0.032,0.148,-0.148
70.0,60.0,80.0,2.398,0.016,-0.016,0.031,-0.031,0.092,-0.092
100.0,80.0,120.0,2.762,0.021,-0.021,0.035,-0.035,0.047,-0.047
160.0,120.0,200.0,3.275,0.038,-0.038,0.048,-0.048,0.073,-0.073
350.0,200.0,500.0,4.4,0.1,-0.1,0.1,-0.1,0.1,-0.1

