#: table_doi: 10.17182/hepdata.90831.v1/t292
#: name: table no 292
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_292.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.133,0.032,-0.032,0.042,-0.042,0.026,-0.026
0.23500000000000001,0.14,0.33,0.18,0.03,-0.03,0.01,-0.01,0.03,-0.03
0.43000000000000005,0.33,0.53,0.356,0.032,-0.032,0.029,-0.029,0.031,-0.031
0.625,0.53,0.72,0.411,0.035,-0.035,0.051,-0.051,0.027,-0.027
0.815,0.72,0.91,0.364,0.034,-0.034,0.014,-0.014,0.022,-0.022
1.0050000000000001,0.91,1.1,0.335,0.029,-0.029,0.011,-0.011,0.02,-0.02
1.195,1.1,1.29,0.338,0.026,-0.026,0.015,-0.015,0.022,-0.022
1.385,1.29,1.48,0.406,0.032,-0.032,0.008,-0.008,0.021,-0.021
1.575,1.48,1.67,0.372,0.029,-0.029,0.028,-0.028,0.02,-0.02
1.7650000000000001,1.67,1.86,0.291,0.028,-0.028,0.02,-0.02,0.017,-0.017
2.1,1.86,2.34,0.222,0.018,-0.018,0.007,-0.007,0.008,-0.008
2.5300000000000002,2.34,2.72,0.168,0.018,-0.018,0.017,-0.017,0.014,-0.014
2.91,2.72,3.1,0.152,0.017,-0.017,0.031,-0.031,0.015,-0.015
3.295,3.1,3.49,0.129,0.016,-0.016,0.004,-0.004,0.017,-0.017
3.68,3.49,3.87,0.083,0.011,-0.011,0.024,-0.024,0.013,-0.013
4.105,3.87,4.34,0.04,0.01,-0.01,0.03,-0.03,0.01,-0.01
4.58,4.34,4.82,0.0473,0.0099,-0.0099,0.0099,-0.0099,0.0089,-0.0089
5.0600000000000005,4.82,5.3,0.0185,0.0034,-0.0034,0.004,-0.004,0.0116,-0.0116
5.54,5.3,5.78,0.0183,0.0066,-0.0066,0.0062,-0.0062,0.0134,-0.0134

