#: table_doi: 10.17182/hepdata.90831.v1/t162
#: name: table no 162
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,away region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_162.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0204,0.0026,-0.0026,0.0015,-0.0015,0.0014,-0.0014
0.23500000000000001,0.14,0.33,0.0262,0.0024,-0.0024,0.0018,-0.0018,0.0012,-0.0012
0.43000000000000005,0.33,0.53,0.0333,0.0024,-0.0024,0.0023,-0.0023,0.0014,-0.0014
0.625,0.53,0.72,0.031,0.002,-0.002,0.002,-0.002,0.002,-0.002
0.815,0.72,0.91,0.0453,0.0024,-0.0024,0.0031,-0.0031,0.0021,-0.0021
1.0050000000000001,0.91,1.1,0.0511,0.0026,-0.0026,0.0035,-0.0035,0.0024,-0.0024
1.195,1.1,1.29,0.0585,0.0026,-0.0026,0.004,-0.004,0.0027,-0.0027
1.385,1.29,1.48,0.0619,0.0025,-0.0025,0.0042,-0.0042,0.0026,-0.0026
1.575,1.48,1.67,0.0575,0.0025,-0.0025,0.0039,-0.0039,0.0032,-0.0032
1.7650000000000001,1.67,1.86,0.0663,0.0027,-0.0027,0.0045,-0.0045,0.0048,-0.0048
2.1,1.86,2.34,0.0856,0.0025,-0.0025,0.0058,-0.0058,0.0029,-0.0029
2.5300000000000002,2.34,2.72,0.1122,0.0029,-0.0029,0.0075,-0.0075,0.0046,-0.0046
2.91,2.72,3.1,0.1243,0.0029,-0.0029,0.0084,-0.0084,0.0046,-0.0046
3.295,3.1,3.49,0.1391,0.0032,-0.0032,0.0093,-0.0093,0.0042,-0.0042
3.68,3.49,3.87,0.1609,0.0033,-0.0033,0.0108,-0.0108,0.0039,-0.0039
4.105,3.87,4.34,0.182,0.0033,-0.0033,0.0122,-0.0122,0.0032,-0.0032
4.58,4.34,4.82,0.2001,0.0032,-0.0032,0.0135,-0.0135,0.0037,-0.0037
5.0600000000000005,4.82,5.3,0.1844,0.0034,-0.0034,0.0124,-0.0124,0.0039,-0.0039
5.54,5.3,5.78,0.1664,0.0032,-0.0032,0.0113,-0.0113,0.0046,-0.0046

