#: table_doi: 10.17182/hepdata.90831.v1/t5
#: name: table no 5
#: description: away region : Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_5.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.2145,0.0014,-0.0014,0.0274,-0.0274,0.0097,-0.0097
15.0,10.0,20.0,1.6959,0.0019,-0.0019,0.0302,-0.0302,0.0067,-0.0067
30.0,20.0,40.0,2.5076,0.0029,-0.0029,0.0384,-0.0384,0.009,-0.009
50.0,40.0,60.0,3.7421,0.0065,-0.0065,0.0517,-0.0517,0.0132,-0.0132
70.0,60.0,80.0,4.935,0.014,-0.014,0.069,-0.069,0.027,-0.027
100.0,80.0,120.0,6.635,0.018,-0.018,0.101,-0.101,0.042,-0.042
160.0,120.0,200.0,9.915,0.034,-0.034,0.138,-0.138,0.062,-0.062
350.0,200.0,500.0,16.707,0.087,-0.087,0.16,-0.16,0.506,-0.506

