#: table_doi: 10.17182/hepdata.90831.v1/t490
#: name: table no 490
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),toward region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_490.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0478,0.0067,-0.0067,0.026,-0.026,0.0069,-0.0069
0.6000000000000001,0.55,0.65,0.215,0.014,-0.014,0.011,-0.011,0.007,-0.007
0.7,0.65,0.75,0.455,0.018,-0.018,0.055,-0.055,0.009,-0.009
0.8,0.75,0.85,0.837,0.023,-0.023,0.068,-0.068,0.012,-0.012
0.8999999999999999,0.85,0.95,1.162,0.028,-0.028,0.048,-0.048,0.011,-0.011
1.0,0.95,1.05,1.345,0.026,-0.026,0.049,-0.049,0.014,-0.014
1.1,1.05,1.15,1.291,0.025,-0.025,0.048,-0.048,0.011,-0.011
1.2,1.15,1.25,1.018,0.021,-0.021,0.042,-0.042,0.012,-0.012
1.3,1.25,1.35,0.788,0.019,-0.019,0.029,-0.029,0.01,-0.01
1.4,1.35,1.45,0.553,0.015,-0.015,0.021,-0.021,0.01,-0.01
1.5,1.45,1.55,0.401,0.012,-0.012,0.018,-0.018,0.009,-0.009
1.6,1.55,1.65,0.304,0.011,-0.011,0.021,-0.021,0.007,-0.007
1.7,1.65,1.75,0.2369,0.0088,-0.0088,0.0101,-0.0101,0.0066,-0.0066
1.8,1.75,1.85,0.1917,0.0079,-0.0079,0.0091,-0.0091,0.0071,-0.0071
1.9,1.85,1.95,0.1626,0.0084,-0.0084,0.005,-0.005,0.007,-0.007
2.0,1.95,2.05,0.1097,0.0051,-0.0051,0.0126,-0.0126,0.0076,-0.0076
2.0999999999999996,2.05,2.15,0.089,0.006,-0.006,0.004,-0.004,0.006,-0.006
2.2,2.15,2.25,0.0719,0.0039,-0.0039,0.0057,-0.0057,0.0056,-0.0056
2.3,2.25,2.35,0.09,0.0056,-0.0056,0.0032,-0.0032,0.0049,-0.0049
2.4000000000000004,2.35,2.45,0.0628,0.0037,-0.0037,0.003,-0.003,0.0049,-0.0049
2.5,2.45,2.55,0.0596,0.0051,-0.0051,0.0019,-0.0019,0.0053,-0.0053
2.5999999999999996,2.55,2.65,0.0417,0.0029,-0.0029,0.01,-0.01,0.005,-0.005
2.7,2.65,2.75,0.039,0.004,-0.004,0.002,-0.002,0.006,-0.006
2.8,2.75,2.85,0.0443,0.0046,-0.0046,0.0022,-0.0022,0.0066,-0.0066
2.9000000000000004,2.85,2.95,0.0308,0.0036,-0.0036,0.0019,-0.0019,0.0083,-0.0083

