#: table_doi: 10.17182/hepdata.90831.v1/t455
#: name: table no 455
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_455.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.779,0.007,-0.007,0.188,-0.188,0.024,-0.024
0.23500000000000001,0.14,0.33,0.7808,0.0071,-0.0071,0.0571,-0.0571,0.0143,-0.0143
0.43000000000000005,0.33,0.53,0.734,0.0054,-0.0054,0.0042,-0.0042,0.0085,-0.0085
0.625,0.53,0.72,0.6165,0.0048,-0.0048,0.0226,-0.0226,0.0056,-0.0056
0.815,0.72,0.91,0.492,0.004,-0.004,0.031,-0.031,0.005,-0.005
1.0050000000000001,0.91,1.1,0.3852,0.0034,-0.0034,0.0296,-0.0296,0.005,-0.005
1.195,1.1,1.29,0.3017,0.0029,-0.0029,0.0239,-0.0239,0.0047,-0.0047
1.385,1.29,1.48,0.2382,0.0025,-0.0025,0.0186,-0.0186,0.0041,-0.0041
1.575,1.48,1.67,0.1924,0.0022,-0.0022,0.0166,-0.0166,0.0036,-0.0036
1.7650000000000001,1.67,1.86,0.158,0.002,-0.002,0.01,-0.01,0.004,-0.004
2.1,1.86,2.34,0.1091,0.0014,-0.0014,0.0053,-0.0053,0.0016,-0.0016
2.5300000000000002,2.34,2.72,0.0677,0.0012,-0.0012,0.0028,-0.0028,0.0019,-0.0019
2.91,2.72,3.1,0.04829,0.00097,-0.00097,0.00166,-0.00166,0.00128,-0.00128
3.295,3.1,3.49,0.03342,0.00076,-0.00076,0.00161,-0.00161,0.00095,-0.00095
3.68,3.49,3.87,0.02318,0.00063,-0.00063,0.00129,-0.00129,0.00093,-0.00093
4.105,3.87,4.34,0.0151,0.0005,-0.0005,0.0002,-0.0002,0.0007,-0.0007
4.58,4.34,4.82,0.01024,0.00034,-0.00034,0.00046,-0.00046,0.00056,-0.00056
5.0600000000000005,4.82,5.3,0.0068,0.0003,-0.0003,0.0001,-0.0001,0.0003,-0.0003
5.54,5.3,5.78,0.00464,0.00021,-0.00021,3e-05,-3e-05,0.00027,-0.00027

