#: table_doi: 10.17182/hepdata.90831.v1/t422
#: name: table no 422
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transmin region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_422.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,1.1371,0.0061,-0.0061,0.1844,-0.1844,0.0235,-0.0235
0.195,0.1,0.29,0.9967,0.0063,-0.0063,0.0141,-0.0141,0.0173,-0.0173
0.385,0.29,0.48,0.8153,0.0042,-0.0042,0.036,-0.036,0.0082,-0.0082
0.575,0.48,0.67,0.6254,0.0035,-0.0035,0.0433,-0.0433,0.0047,-0.0047
0.765,0.67,0.86,0.4608,0.0028,-0.0028,0.0347,-0.0347,0.0054,-0.0054
0.9550000000000001,0.86,1.05,0.3385,0.0023,-0.0023,0.025,-0.025,0.0062,-0.0062
1.145,1.05,1.24,0.2459,0.0018,-0.0018,0.0198,-0.0198,0.0066,-0.0066
1.335,1.24,1.43,0.1732,0.0014,-0.0014,0.0134,-0.0134,0.0057,-0.0057
1.525,1.43,1.62,0.1213,0.0012,-0.0012,0.0094,-0.0094,0.0048,-0.0048
1.715,1.62,1.81,0.0884,0.0011,-0.0011,0.0056,-0.0056,0.0037,-0.0037
1.91,1.81,2.01,0.06426,0.00087,-0.00087,0.00421,-0.00421,0.003,-0.003
2.105,2.01,2.2,0.04724,0.00075,-0.00075,0.0025,-0.0025,0.00227,-0.00227
2.295,2.2,2.39,0.03429,0.00062,-0.00062,0.00207,-0.00207,0.00176,-0.00176
2.4850000000000003,2.39,2.58,0.0237,0.0005,-0.0005,0.0003,-0.0003,0.0014,-0.0014
2.675,2.58,2.77,0.0174,0.00039,-0.00039,0.00036,-0.00036,0.00106,-0.00106
2.865,2.77,2.96,0.01186,0.00035,-0.00035,7e-05,-7e-05,0.0008,-0.0008
3.0549999999999997,2.96,3.15,0.00916,0.00031,-0.00031,9e-05,-9e-05,0.00064,-0.00064
3.245,3.15,3.34,0.0064,0.00025,-0.00025,0.00038,-0.00038,0.00061,-0.00061
3.4349999999999996,3.34,3.53,0.00511,0.00022,-0.00022,0.00033,-0.00033,0.00054,-0.00054
3.625,3.53,3.72,0.00414,0.00022,-0.00022,2e-05,-2e-05,0.00053,-0.00053
3.8200000000000003,3.72,3.92,0.00307,0.00023,-0.00023,0.00023,-0.00023,0.00046,-0.00046
4.015000000000001,3.92,4.11,0.00256,0.00019,-0.00019,0.00033,-0.00033,0.00038,-0.00038
4.205,4.11,4.3,0.0015,0.0002,-0.0002,0.0003,-0.0003,0.0003,-0.0003

