#: table_doi: 10.17182/hepdata.90831.v1/t480
#: name: table no 480
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),away region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_480.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0678,0.0025,-0.0025,0.0091,-0.0091,0.0044,-0.0044
0.23500000000000001,0.14,0.33,0.0983,0.0028,-0.0028,0.0054,-0.0054,0.0036,-0.0036
0.43000000000000005,0.33,0.53,0.1256,0.0028,-0.0028,0.0028,-0.0028,0.0039,-0.0039
0.625,0.53,0.72,0.151,0.003,-0.003,0.002,-0.002,0.004,-0.004
0.815,0.72,0.91,0.186,0.003,-0.003,0.004,-0.004,0.005,-0.005
1.0050000000000001,0.91,1.1,0.2129,0.0032,-0.0032,0.0051,-0.0051,0.0052,-0.0052
1.195,1.1,1.29,0.2517,0.0033,-0.0033,0.0046,-0.0046,0.005,-0.005
1.385,1.29,1.48,0.2805,0.0034,-0.0034,0.0045,-0.0045,0.0043,-0.0043
1.575,1.48,1.67,0.2931,0.0032,-0.0032,0.0049,-0.0049,0.0035,-0.0035
1.7650000000000001,1.67,1.86,0.3015,0.0032,-0.0032,0.0047,-0.0047,0.0038,-0.0038
2.1,1.86,2.34,0.3099,0.0024,-0.0024,0.0055,-0.0055,0.0014,-0.0014
2.5300000000000002,2.34,2.72,0.2832,0.0025,-0.0025,0.0044,-0.0044,0.0022,-0.0022
2.91,2.72,3.1,0.2414,0.0023,-0.0023,0.0038,-0.0038,0.0024,-0.0024
3.295,3.1,3.49,0.1877,0.0021,-0.0021,0.0029,-0.0029,0.0031,-0.0031
3.68,3.49,3.87,0.1439,0.0017,-0.0017,0.0028,-0.0028,0.0034,-0.0034
4.105,3.87,4.34,0.1024,0.0013,-0.0013,0.0016,-0.0016,0.0025,-0.0025
4.58,4.34,4.82,0.0717,0.0011,-0.0011,0.0012,-0.0012,0.0022,-0.0022
5.0600000000000005,4.82,5.3,0.04386,0.00084,-0.00084,0.0016,-0.0016,0.00149,-0.00149
5.54,5.3,5.78,0.0274,0.0007,-0.0007,0.0007,-0.0007,0.0013,-0.0013

