#: table_doi: 10.17182/hepdata.90831.v1/t453
#: name: table no 453
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_453.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.356,0.034,-0.034,0.019,-0.019,0.015,-0.015
0.23500000000000001,0.14,0.33,0.322,0.033,-0.033,0.013,-0.013,0.012,-0.012
0.43000000000000005,0.33,0.53,0.406,0.033,-0.033,0.011,-0.011,0.013,-0.013
0.625,0.53,0.72,0.424,0.028,-0.028,0.011,-0.011,0.013,-0.013
0.815,0.72,0.91,0.454,0.026,-0.026,0.014,-0.014,0.012,-0.012
1.0050000000000001,0.91,1.1,0.38,0.024,-0.024,0.01,-0.01,0.012,-0.012
1.195,1.1,1.29,0.327,0.021,-0.021,0.012,-0.012,0.009,-0.009
1.385,1.29,1.48,0.26,0.02,-0.02,0.02,-0.02,0.01,-0.01
1.575,1.48,1.67,0.267,0.021,-0.021,0.007,-0.007,0.007,-0.007
1.7650000000000001,1.67,1.86,0.217,0.017,-0.017,0.01,-0.01,0.012,-0.012
2.1,1.86,2.34,0.155,0.011,-0.011,0.005,-0.005,0.005,-0.005
2.5300000000000002,2.34,2.72,0.12,0.01,-0.01,0,0,0.01,-0.01
2.91,2.72,3.1,0.09,0.01,-0.01,0.01,-0.01,0.01,-0.01
3.295,3.1,3.49,0.0876,0.0093,-0.0093,0.0034,-0.0034,0.0058,-0.0058
3.68,3.49,3.87,0.09,0.01,-0.01,0,0,0.01,-0.01
4.105,3.87,4.34,0.0527,0.0072,-0.0072,0.0031,-0.0031,0.0048,-0.0048
4.58,4.34,4.82,0.0435,0.0069,-0.0069,0.0016,-0.0016,0.0057,-0.0057
5.0600000000000005,4.82,5.3,0.0242,0.0039,-0.0039,0.0016,-0.0016,0.0052,-0.0052
5.54,5.3,5.78,0.0197,0.0042,-0.0042,0.0013,-0.0013,0.0051,-0.0051

