#: table_doi: 10.17182/hepdata.90831.v1/t448
#: name: table no 448
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_448.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.6887,0.0071,-0.0071,0.0842,-0.0842,0.0217,-0.0217
0.23500000000000001,0.14,0.33,0.6018,0.0068,-0.0068,0.0224,-0.0224,0.0131,-0.0131
0.43000000000000005,0.33,0.53,0.6229,0.0062,-0.0062,0.0062,-0.0062,0.008,-0.008
0.625,0.53,0.72,0.5689,0.0051,-0.0051,0.0053,-0.0053,0.0043,-0.0043
0.815,0.72,0.91,0.4796,0.0046,-0.0046,0.0103,-0.0103,0.0023,-0.0023
1.0050000000000001,0.91,1.1,0.4226,0.0039,-0.0039,0.0061,-0.0061,0.0022,-0.0022
1.195,1.1,1.29,0.3656,0.0036,-0.0036,0.0106,-0.0106,0.0028,-0.0028
1.385,1.29,1.48,0.2993,0.0031,-0.0031,0.0108,-0.0108,0.0038,-0.0038
1.575,1.48,1.67,0.2404,0.0026,-0.0026,0.0075,-0.0075,0.0044,-0.0044
1.7650000000000001,1.67,1.86,0.1896,0.0024,-0.0024,0.0066,-0.0066,0.0051,-0.0051
2.1,1.86,2.34,0.1331,0.0016,-0.0016,0.0056,-0.0056,0.002,-0.002
2.5300000000000002,2.34,2.72,0.0873,0.0014,-0.0014,0.0036,-0.0036,0.0026,-0.0026
2.91,2.72,3.1,0.0619,0.0012,-0.0012,0.0023,-0.0023,0.0021,-0.0021
3.295,3.1,3.49,0.03855,0.00088,-0.00088,0.00045,-0.00045,0.00153,-0.00153
3.68,3.49,3.87,0.02797,0.00073,-0.00073,0.00046,-0.00046,0.00094,-0.00094
4.105,3.87,4.34,0.01764,0.00053,-0.00053,0.00188,-0.00188,0.00072,-0.00072
4.58,4.34,4.82,0.01315,0.00047,-0.00047,0.00221,-0.00221,0.00053,-0.00053
5.0600000000000005,4.82,5.3,0.0094,0.0004,-0.0004,0.0005,-0.0005,0.0005,-0.0005
5.54,5.3,5.78,0.00492,0.00027,-0.00027,3e-05,-3e-05,0.0006,-0.0006

