#: table_doi: 10.17182/hepdata.90831.v1/t434
#: name: table no 434
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transmax region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_434.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.0655,0.0051,-0.0051,0.0122,-0.0122,0.0064,-0.0064
0.195,0.1,0.29,0.2322,0.0096,-0.0096,0.0189,-0.0189,0.0072,-0.0072
0.385,0.29,0.48,0.36,0.01,-0.01,0.02,-0.02,0.01,-0.01
0.575,0.48,0.67,0.464,0.011,-0.011,0.023,-0.023,0.012,-0.012
0.765,0.67,0.86,0.52,0.01,-0.01,0.02,-0.02,0.01,-0.01
0.9550000000000001,0.86,1.05,0.5112,0.0089,-0.0089,0.0139,-0.0139,0.0082,-0.0082
1.145,1.05,1.24,0.511,0.009,-0.009,0.017,-0.017,0.007,-0.007
1.335,1.24,1.43,0.4562,0.0085,-0.0085,0.0146,-0.0146,0.0056,-0.0056
1.525,1.43,1.62,0.3884,0.0073,-0.0073,0.0119,-0.0119,0.0057,-0.0057
1.715,1.62,1.81,0.3314,0.0065,-0.0065,0.0172,-0.0172,0.0044,-0.0044
1.91,1.81,2.01,0.2812,0.0056,-0.0056,0.0179,-0.0179,0.0047,-0.0047
2.105,2.01,2.2,0.2338,0.0054,-0.0054,0.0166,-0.0166,0.0057,-0.0057
2.295,2.2,2.39,0.1813,0.0045,-0.0045,0.0132,-0.0132,0.0074,-0.0074
2.4850000000000003,2.39,2.58,0.1473,0.0041,-0.0041,0.012,-0.012,0.0078,-0.0078
2.675,2.58,2.77,0.124,0.004,-0.004,0.015,-0.015,0.006,-0.006
2.865,2.77,2.96,0.0956,0.0032,-0.0032,0.0075,-0.0075,0.0042,-0.0042
3.0549999999999997,2.96,3.15,0.0777,0.0032,-0.0032,0.0057,-0.0057,0.0038,-0.0038
3.245,3.15,3.34,0.0597,0.0023,-0.0023,0.0044,-0.0044,0.0034,-0.0034
3.4349999999999996,3.34,3.53,0.0414,0.0024,-0.0024,0.0047,-0.0047,0.0033,-0.0033
3.625,3.53,3.72,0.032,0.002,-0.002,0.004,-0.004,0.003,-0.003
3.8200000000000003,3.72,3.92,0.027,0.0022,-0.0022,0.0023,-0.0023,0.0035,-0.0035
4.015000000000001,3.92,4.11,0.0181,0.0018,-0.0018,0.0011,-0.0011,0.0033,-0.0033
4.205,4.11,4.3,0.0138,0.0013,-0.0013,0.0033,-0.0033,0.0037,-0.0037

