#: table_doi: 10.17182/hepdata.90831.v1/t106
#: name: table no 106
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transmin region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_106.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.4382,0.0097,-0.0097,0.0177,-0.0177,0.0183,-0.0183
0.195,0.1,0.29,0.548,0.012,-0.012,0.019,-0.019,0.016,-0.016
0.385,0.29,0.48,0.61,0.01,-0.01,0.02,-0.02,0.01,-0.01
0.575,0.48,0.67,0.6233,0.0087,-0.0087,0.0184,-0.0184,0.0089,-0.0089
0.765,0.67,0.86,0.5507,0.0078,-0.0078,0.016,-0.016,0.0061,-0.0061
0.9550000000000001,0.86,1.05,0.4848,0.0071,-0.0071,0.0139,-0.0139,0.0049,-0.0049
1.145,1.05,1.24,0.4073,0.0059,-0.0059,0.0116,-0.0116,0.0047,-0.0047
1.335,1.24,1.43,0.3301,0.0054,-0.0054,0.0095,-0.0095,0.0053,-0.0053
1.525,1.43,1.62,0.2706,0.0053,-0.0053,0.0079,-0.0079,0.006,-0.006
1.715,1.62,1.81,0.2093,0.0042,-0.0042,0.0064,-0.0064,0.0064,-0.0064
1.91,1.81,2.01,0.1686,0.0039,-0.0039,0.0056,-0.0056,0.0063,-0.0063
2.105,2.01,2.2,0.1348,0.0035,-0.0035,0.0052,-0.0052,0.0056,-0.0056
2.295,2.2,2.39,0.107,0.003,-0.003,0.004,-0.004,0.005,-0.005
2.4850000000000003,2.39,2.58,0.0793,0.0026,-0.0026,0.004,-0.004,0.004,-0.004
2.675,2.58,2.77,0.0598,0.0023,-0.0023,0.0031,-0.0031,0.0034,-0.0034
2.865,2.77,2.96,0.0464,0.0021,-0.0021,0.0028,-0.0028,0.003,-0.003
3.0549999999999997,2.96,3.15,0.039,0.0021,-0.0021,0.0024,-0.0024,0.003,-0.003
3.245,3.15,3.34,0.0293,0.0016,-0.0016,0.0018,-0.0018,0.0027,-0.0027
3.4349999999999996,3.34,3.53,0.0228,0.0017,-0.0017,0.0013,-0.0013,0.0026,-0.0026
3.625,3.53,3.72,0.0173,0.0013,-0.0013,0.0011,-0.0011,0.0024,-0.0024
3.8200000000000003,3.72,3.92,0.0133,0.0013,-0.0013,0.0009,-0.0009,0.0024,-0.0024
4.015000000000001,3.92,4.11,0.0084,0.0012,-0.0012,0.0008,-0.0008,0.0025,-0.0025
4.205,4.11,4.3,0.007,0.001,-0.001,0.001,-0.001,0.002,-0.002

