#: table_doi: 10.17182/hepdata.90831.v1/t308
#: name: table no 308
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_308.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.192,0.026,-0.026,0.04,-0.04,0.015,-0.015
0.48,0.29,0.67,0.289,0.027,-0.027,0.027,-0.027,0.014,-0.014
0.8600000000000001,0.67,1.05,0.268,0.024,-0.024,0.023,-0.023,0.015,-0.015
1.24,1.05,1.43,0.358,0.022,-0.022,0.059,-0.059,0.016,-0.016
1.62,1.43,1.81,0.3,0.02,-0.02,0.04,-0.04,0.01,-0.01
2.005,1.81,2.2,0.219,0.019,-0.019,0.013,-0.013,0.011,-0.011
2.39,2.2,2.58,0.187,0.015,-0.015,0.005,-0.005,0.011,-0.011
2.77,2.58,2.96,0.194,0.018,-0.018,0.016,-0.016,0.01,-0.01
3.15,2.96,3.34,0.102,0.012,-0.012,0.02,-0.02,0.011,-0.011
3.5300000000000002,3.34,3.72,0.121,0.013,-0.013,0.018,-0.018,0.011,-0.011
4.2,3.72,4.68,0.0933,0.0083,-0.0083,0.0156,-0.0156,0.0044,-0.0044
5.0600000000000005,4.68,5.44,0.04,0.006,-0.006,0.006,-0.006,0.005,-0.005

