#: table_doi: 10.17182/hepdata.90831.v1/t23
#: name: table no 23
#: description: Figure 11a,  mean nTracks transmin low thrust, transmin region : low thrust ($T<0.75$) Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_23.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.9593,0.0016,-0.0016,0.0233,-0.0233,0.0114,-0.0114
15.0,10.0,20.0,1.068,0.002,-0.002,0.023,-0.023,0.011,-0.011
30.0,20.0,40.0,1.1986,0.0025,-0.0025,0.0235,-0.0235,0.0116,-0.0116
50.0,40.0,60.0,1.344,0.005,-0.005,0.027,-0.027,0.012,-0.012
70.0,60.0,80.0,1.4414,0.0095,-0.0095,0.0274,-0.0274,0,0
100.0,80.0,120.0,1.525,0.012,-0.012,0.028,-0.028,0.003,-0.003
160.0,120.0,200.0,1.643,0.023,-0.023,0.05,-0.05,0.007,-0.007
350.0,200.0,500.0,1.755,0.067,-0.067,0.06,-0.06,0.06,-0.06

