#: table_doi: 10.17182/hepdata.90831.v1/t282
#: name: table no 282
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),away region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_282.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.00022,0.00066,-0.00066,0.00036,-0.00036,0.00055,-0.00055
0.095,0.05,0.14,0.0009,0.0014,-0.0014,0.0007,-0.0007,0.0017,-0.0017
0.19,0.14,0.24,0.0233,0.0073,-0.0073,0.0018,-0.0018,0.0029,-0.0029
0.28500000000000003,0.24,0.33,0.0284,0.0062,-0.0062,0.0012,-0.0012,0.0039,-0.0039
0.38,0.33,0.43,0.0585,0.0085,-0.0085,0.0025,-0.0025,0.0063,-0.0063
0.48,0.43,0.53,0.0612,0.0065,-0.0065,0.004,-0.004,0.0073,-0.0073
0.575,0.53,0.62,0.0811,0.0099,-0.0099,0.0032,-0.0032,0.0084,-0.0084
0.6699999999999999,0.62,0.72,0.0939,0.0096,-0.0096,0.0149,-0.0149,0.008,-0.008
0.765,0.72,0.81,0.11,0.01,-0.01,0.02,-0.02,0.01,-0.01
0.8600000000000001,0.81,0.91,0.141,0.012,-0.012,0.01,-0.01,0.012,-0.012
0.9550000000000001,0.91,1.0,0.187,0.012,-0.012,0.013,-0.013,0.013,-0.013
1.05,1.0,1.1,0.227,0.013,-0.013,0.012,-0.012,0.019,-0.019
1.145,1.1,1.19,0.251,0.013,-0.013,0.028,-0.028,0.017,-0.017
1.24,1.19,1.29,0.278,0.013,-0.013,0.011,-0.011,0.016,-0.016
1.335,1.29,1.38,0.305,0.013,-0.013,0.02,-0.02,0.014,-0.014
1.43,1.38,1.48,0.378,0.017,-0.017,0.018,-0.018,0.014,-0.014
1.53,1.48,1.58,0.35,0.014,-0.014,0.025,-0.025,0.013,-0.013
1.625,1.58,1.67,0.352,0.013,-0.013,0.022,-0.022,0.011,-0.011
1.72,1.67,1.77,0.375,0.014,-0.014,0.015,-0.015,0.012,-0.012
1.815,1.77,1.86,0.356,0.014,-0.014,0.02,-0.02,0.013,-0.013
1.9100000000000001,1.86,1.96,0.393,0.014,-0.014,0.024,-0.024,0.015,-0.015
2.005,1.96,2.05,0.406,0.013,-0.013,0.016,-0.016,0.016,-0.016
2.0999999999999996,2.05,2.15,0.438,0.014,-0.014,0.029,-0.029,0.02,-0.02
2.1950000000000003,2.15,2.24,0.442,0.016,-0.016,0.013,-0.013,0.018,-0.018
2.29,2.24,2.34,0.462,0.015,-0.015,0.015,-0.015,0.017,-0.017
2.3899999999999997,2.34,2.44,0.394,0.013,-0.013,0.034,-0.034,0.014,-0.014
2.485,2.44,2.53,0.363,0.012,-0.012,0.022,-0.022,0.013,-0.013
2.58,2.53,2.63,0.411,0.015,-0.015,0.026,-0.026,0.019,-0.019
2.7249999999999996,2.63,2.82,0.334,0.011,-0.011,0.015,-0.015,0.009,-0.009
2.915,2.82,3.01,0.323,0.013,-0.013,0.027,-0.027,0.01,-0.01
3.105,3.01,3.2,0.262,0.009,-0.009,0.018,-0.018,0.009,-0.009
3.295,3.2,3.39,0.2089,0.0086,-0.0086,0.0097,-0.0097,0.01,-0.01
3.4850000000000003,3.39,3.58,0.166,0.0082,-0.0082,0.0033,-0.0033,0.0134,-0.0134
3.725,3.58,3.87,0.1058,0.0062,-0.0062,0.0023,-0.0023,0.0086,-0.0086
4.105,3.87,4.34,0.066,0.0041,-0.0041,0.0022,-0.0022,0.0045,-0.0045

