#: table_doi: 10.17182/hepdata.90831.v1/t127
#: name: table no 127
#: description: Figure 01c from auxiliary figures,  sumPt toward_zptregion2, $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_127.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.579,0.004,-0.004,0.016,-0.016,0.021,-0.021
0.23500000000000001,0.14,0.33,0.5382,0.0037,-0.0037,0.0093,-0.0093,0.0139,-0.0139
0.43000000000000005,0.33,0.53,0.5699,0.0033,-0.0033,0.0053,-0.0053,0.0105,-0.0105
0.625,0.53,0.72,0.5424,0.0029,-0.0029,0.0031,-0.0031,0.007,-0.007
0.815,0.72,0.91,0.5054,0.0027,-0.0027,0.0031,-0.0031,0.0044,-0.0044
1.0050000000000001,0.91,1.1,0.4553,0.0025,-0.0025,0.004,-0.004,0.0033,-0.0033
1.195,1.1,1.29,0.4023,0.0024,-0.0024,0.0042,-0.0042,0.0033,-0.0033
1.385,1.29,1.48,0.337,0.002,-0.002,0.004,-0.004,0.004,-0.004
1.575,1.48,1.67,0.279,0.0018,-0.0018,0.0031,-0.0031,0.005,-0.005
1.7650000000000001,1.67,1.86,0.2267,0.0016,-0.0016,0.0025,-0.0025,0.0064,-0.0064
2.1,1.86,2.34,0.1635,0.0011,-0.0011,0.0008,-0.0008,0.0032,-0.0032
2.5300000000000002,2.34,2.72,0.0999,0.00099,-0.00099,0.00066,-0.00066,0.00382,-0.00382
2.91,2.72,3.1,0.063,0.0008,-0.0008,0.0004,-0.0004,0.0032,-0.0032
3.295,3.1,3.49,0.0389,0.0006,-0.0006,0.0003,-0.0003,0.0022,-0.0022
3.68,3.49,3.87,0.02341,0.00044,-0.00044,0.00037,-0.00037,0.00151,-0.00151
4.105,3.87,4.34,0.0138,0.00034,-0.00034,0.00037,-0.00037,0.00085,-0.00085
4.58,4.34,4.82,0.00786,0.00024,-0.00024,0.00043,-0.00043,0.00058,-0.00058
5.0600000000000005,4.82,5.3,0.00508,0.00021,-0.00021,0.00041,-0.00041,0.00042,-0.00042
5.54,5.3,5.78,0.00293,0.00016,-0.00016,0.00032,-0.00032,0.00032,-0.00032

