#: table_doi: 10.17182/hepdata.90831.v1/t257
#: name: table no 257
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transverse region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_257.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.00066,0.00071,-0.00071,0.00148,-0.00148,0.00129,-0.00129
0.095,0.05,0.14,0.0111,0.0029,-0.0029,0.0029,-0.0029,0.0019,-0.0019
0.19,0.14,0.24,0.039,0.005,-0.005,0.004,-0.004,0.004,-0.004
0.28500000000000003,0.24,0.33,0.0746,0.0056,-0.0056,0.0058,-0.0058,0.0057,-0.0057
0.38,0.33,0.43,0.1058,0.0058,-0.0058,0.0055,-0.0055,0.0084,-0.0084
0.48,0.43,0.53,0.1819,0.0079,-0.0079,0.0111,-0.0111,0.0102,-0.0102
0.575,0.53,0.62,0.2398,0.0085,-0.0085,0.0067,-0.0067,0.0112,-0.0112
0.6699999999999999,0.62,0.72,0.3063,0.0097,-0.0097,0.0091,-0.0091,0.016,-0.016
0.765,0.72,0.81,0.3535,0.0097,-0.0097,0.0113,-0.0113,0.0156,-0.0156
0.8600000000000001,0.81,0.91,0.3842,0.0096,-0.0096,0.0159,-0.0159,0.0175,-0.0175
0.9550000000000001,0.91,1.0,0.441,0.011,-0.011,0.008,-0.008,0.013,-0.013
1.05,1.0,1.1,0.47,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.145,1.1,1.19,0.51,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.24,1.19,1.29,0.565,0.011,-0.011,0.007,-0.007,0.014,-0.014
1.335,1.29,1.38,0.57,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.43,1.38,1.48,0.5803,0.0098,-0.0098,0.0148,-0.0148,0.0106,-0.0106
1.53,1.48,1.58,0.55,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.625,1.58,1.67,0.5204,0.0093,-0.0093,0.0045,-0.0045,0.0097,-0.0097
1.72,1.67,1.77,0.4738,0.0085,-0.0085,0.0135,-0.0135,0.0077,-0.0077
1.815,1.77,1.86,0.431,0.0091,-0.0091,0.0068,-0.0068,0.0063,-0.0063
1.9100000000000001,1.86,1.96,0.4126,0.0086,-0.0086,0.0154,-0.0154,0.0068,-0.0068
2.005,1.96,2.05,0.3843,0.0081,-0.0081,0.0037,-0.0037,0.0091,-0.0091
2.0999999999999996,2.05,2.15,0.35,0.008,-0.008,0.012,-0.012,0.009,-0.009
2.1950000000000003,2.15,2.24,0.3235,0.0075,-0.0075,0.0046,-0.0046,0.0096,-0.0096
2.29,2.24,2.34,0.2735,0.0063,-0.0063,0.0057,-0.0057,0.0087,-0.0087
2.3899999999999997,2.34,2.44,0.2481,0.0057,-0.0057,0.0174,-0.0174,0.0092,-0.0092
2.485,2.44,2.53,0.22,0.006,-0.006,0.008,-0.008,0.008,-0.008
2.58,2.53,2.63,0.1894,0.0052,-0.0052,0.0122,-0.0122,0.0091,-0.0091
2.7249999999999996,2.63,2.82,0.1668,0.0049,-0.0049,0.0099,-0.0099,0.0052,-0.0052
2.915,2.82,3.01,0.126,0.004,-0.004,0.002,-0.002,0.006,-0.006
3.105,3.01,3.2,0.1007,0.0037,-0.0037,0.0025,-0.0025,0.0063,-0.0063
3.295,3.2,3.39,0.066,0.003,-0.003,0.001,-0.001,0.006,-0.006
3.4850000000000003,3.39,3.58,0.053,0.003,-0.003,0.004,-0.004,0.006,-0.006
3.725,3.58,3.87,0.0345,0.0021,-0.0021,0.0083,-0.0083,0.0036,-0.0036
4.105,3.87,4.34,0.0162,0.0013,-0.0013,0.0033,-0.0033,0.0018,-0.0018

