#: table_doi: 10.17182/hepdata.90831.v1/t459
#: name: table no 459
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_459.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.262,0.012,-0.012,0.023,-0.023,0.014,-0.014
0.23500000000000001,0.14,0.33,0.345,0.012,-0.012,0.014,-0.014,0.01,-0.01
0.43000000000000005,0.33,0.53,0.414,0.012,-0.012,0.02,-0.02,0.011,-0.011
0.625,0.53,0.72,0.453,0.011,-0.011,0.009,-0.009,0.009,-0.009
0.815,0.72,0.91,0.4469,0.0097,-0.0097,0.0146,-0.0146,0.0073,-0.0073
1.0050000000000001,0.91,1.1,0.4194,0.0094,-0.0094,0.0064,-0.0064,0.0054,-0.0054
1.195,1.1,1.29,0.3957,0.0093,-0.0093,0.0041,-0.0041,0.0047,-0.0047
1.385,1.29,1.48,0.3352,0.0082,-0.0082,0.0063,-0.0063,0.004,-0.004
1.575,1.48,1.67,0.2745,0.0069,-0.0069,0.0078,-0.0078,0.0033,-0.0033
1.7650000000000001,1.67,1.86,0.2486,0.0068,-0.0068,0.0049,-0.0049,0.0057,-0.0057
2.1,1.86,2.34,0.1906,0.0044,-0.0044,0.0081,-0.0081,0.0032,-0.0032
2.5300000000000002,2.34,2.72,0.1328,0.0039,-0.0039,0.013,-0.013,0.0045,-0.0045
2.91,2.72,3.1,0.0884,0.0035,-0.0035,0.0086,-0.0086,0.0036,-0.0036
3.295,3.1,3.49,0.0673,0.0031,-0.0031,0.0018,-0.0018,0.0024,-0.0024
3.68,3.49,3.87,0.0526,0.0024,-0.0024,0.0022,-0.0022,0.0019,-0.0019
4.105,3.87,4.34,0.0371,0.0019,-0.0019,0.0026,-0.0026,0.0013,-0.0013
4.58,4.34,4.82,0.0293,0.0017,-0.0017,0.0003,-0.0003,0.0014,-0.0014
5.0600000000000005,4.82,5.3,0.019,0.0012,-0.0012,0.0005,-0.0005,0.0013,-0.0013
5.54,5.3,5.78,0.0168,0.0014,-0.0014,0.0005,-0.0005,0.0014,-0.0014

