#: table_doi: 10.17182/hepdata.90831.v1/t16
#: name: table no 16
#: description: Figure 04c from auxiliary figures,  mean sumPt toward low thrust, toward region : low thrust ($T<0.75$) Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_16.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.261,0.0018,-0.0018,0.0237,-0.0237,0.003,-0.003
15.0,10.0,20.0,1.3515,0.0022,-0.0022,0.0237,-0.0237,0.0015,-0.0015
30.0,20.0,40.0,1.4692,0.0031,-0.0031,0.0249,-0.0249,0.0042,-0.0042
50.0,40.0,60.0,1.61,0.0064,-0.0064,0.0278,-0.0278,0.0141,-0.0141
70.0,60.0,80.0,1.721,0.012,-0.012,0.022,-0.022,0.012,-0.012
100.0,80.0,120.0,1.794,0.016,-0.016,0.028,-0.028,0.017,-0.017
160.0,120.0,200.0,1.9,0.032,-0.032,0.038,-0.038,0.025,-0.025
350.0,200.0,500.0,2.06,0.08,-0.08,0.06,-0.06,0.08,-0.08

