#: table_doi: 10.17182/hepdata.90831.v1/t12
#: name: table no 12
#: description: transverse region : Mean of arithmetic mean of transverse momenta ($\langle mean p_{T} \rangle \pm stat. \pm syst.det.\pm syst.gen.[GeV]$) 

#: data_file: table_no_12.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle mean transverse momentum [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.066,0.00056,-0.00056,0.00189,-0.00189,0.00838,-0.00838
15.0,10.0,20.0,1.1275,0.00074,-0.00074,0.00216,-0.00216,0.009,-0.009
30.0,20.0,40.0,1.2135,0.0011,-0.0011,0.0026,-0.0026,0.0147,-0.0147
50.0,40.0,60.0,1.306,0.002,-0.002,0.004,-0.004,0.015,-0.015
70.0,60.0,80.0,1.3833,0.0039,-0.0039,0.0043,-0.0043,0.0173,-0.0173
100.0,80.0,120.0,1.4566,0.0046,-0.0046,0.0046,-0.0046,0.0116,-0.0116
160.0,120.0,200.0,1.5454,0.0071,-0.0071,0.0041,-0.0041,0.0117,-0.0117
350.0,200.0,500.0,1.657,0.016,-0.016,0.005,-0.005,0.036,-0.036

