#: table_doi: 10.17182/hepdata.90831.v1/t474
#: name: table no 474
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmax region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_474.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.21,0.0068,-0.0068,0.0233,-0.0233,0.0096,-0.0096
0.48,0.29,0.67,0.3409,0.0077,-0.0077,0.0205,-0.0205,0.0066,-0.0066
0.8600000000000001,0.67,1.05,0.3803,0.0074,-0.0074,0.0199,-0.0199,0.0055,-0.0055
1.24,1.05,1.43,0.3522,0.0069,-0.0069,0.0087,-0.0087,0.0039,-0.0039
1.62,1.43,1.81,0.3024,0.0056,-0.0056,0.0041,-0.0041,0.0034,-0.0034
2.005,1.81,2.2,0.2298,0.0055,-0.0055,0.0056,-0.0056,0.0043,-0.0043
2.39,2.2,2.58,0.1672,0.0043,-0.0043,0.012,-0.012,0.004,-0.004
2.77,2.58,2.96,0.1272,0.0038,-0.0038,0.0097,-0.0097,0.0036,-0.0036
3.15,2.96,3.34,0.091,0.003,-0.003,0.011,-0.011,0.003,-0.003
3.5300000000000002,3.34,3.72,0.0638,0.0027,-0.0027,0.0064,-0.0064,0.0029,-0.0029
4.2,3.72,4.68,0.0447,0.0017,-0.0017,0.0023,-0.0023,0.0011,-0.0011
5.0600000000000005,4.68,5.44,0.0312,0.0015,-0.0015,0.0015,-0.0015,0.0012,-0.0012

