#: table_doi: 10.17182/hepdata.90831.v1/t344
#: name: table no 344
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),transmin region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_344.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0647,0.0038,-0.0038,0.0268,-0.0268,0.0086,-0.0086
0.6000000000000001,0.55,0.65,0.3293,0.0081,-0.0081,0.0451,-0.0451,0.0109,-0.0109
0.7,0.65,0.75,0.798,0.013,-0.013,0.044,-0.044,0.014,-0.014
0.8,0.75,0.85,1.262,0.014,-0.014,0.049,-0.049,0.013,-0.013
0.8999999999999999,0.85,0.95,1.581,0.015,-0.015,0.047,-0.047,0.014,-0.014
1.0,0.95,1.05,1.557,0.013,-0.013,0.044,-0.044,0.015,-0.015
1.1,1.05,1.15,1.282,0.011,-0.011,0.047,-0.047,0.013,-0.013
1.2,1.15,1.25,0.9591,0.0092,-0.0092,0.0462,-0.0462,0.0088,-0.0088
1.3,1.25,1.35,0.6611,0.0076,-0.0076,0.0182,-0.0182,0.006,-0.006
1.4,1.35,1.45,0.447,0.006,-0.006,0.011,-0.011,0.005,-0.005
1.5,1.45,1.55,0.3053,0.0047,-0.0047,0.0068,-0.0068,0.005,-0.005
1.6,1.55,1.65,0.2112,0.0042,-0.0042,0.0048,-0.0048,0.0042,-0.0042
1.7,1.65,1.75,0.1337,0.0032,-0.0032,0.0044,-0.0044,0.0045,-0.0045
1.8,1.75,1.85,0.0992,0.0027,-0.0027,0.004,-0.004,0.0032,-0.0032
1.9,1.85,1.95,0.0711,0.0022,-0.0022,0.0036,-0.0036,0.0025,-0.0025
2.0,1.95,2.05,0.0542,0.0023,-0.0023,0.0041,-0.0041,0.0023,-0.0023
2.0999999999999996,2.05,2.15,0.0423,0.0019,-0.0019,0.0024,-0.0024,0.0022,-0.0022
2.2,2.15,2.25,0.0306,0.0016,-0.0016,0.0026,-0.0026,0.0018,-0.0018
2.3,2.25,2.35,0.0225,0.0012,-0.0012,0.0009,-0.0009,0.0021,-0.0021
2.4000000000000004,2.35,2.45,0.0185,0.0016,-0.0016,0.0017,-0.0017,0.0023,-0.0023
2.5,2.45,2.55,0.0152,0.0014,-0.0014,0.0025,-0.0025,0.0022,-0.0022
2.5999999999999996,2.55,2.65,0.0118,0.0013,-0.0013,0.0011,-0.0011,0.0015,-0.0015
2.7,2.65,2.75,0.00655,0.00077,-0.00077,0.00093,-0.00093,0.00111,-0.00111
2.8,2.75,2.85,0.00644,0.00082,-0.00082,0.00026,-0.00026,0.00135,-0.00135
2.9000000000000004,2.85,2.95,0.0066,0.0011,-0.0011,0.0007,-0.0007,0.0013,-0.0013

