#: table_doi: 10.17182/hepdata.90831.v1/t513
#: name: table no 513
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),transmax region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_513.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0288,0.0032,-0.0032,0.0261,-0.0261,0.0065,-0.0065
0.6000000000000001,0.55,0.65,0.191,0.009,-0.009,0.044,-0.044,0.009,-0.009
0.7,0.65,0.75,0.47,0.013,-0.013,0.093,-0.093,0.012,-0.012
0.8,0.75,0.85,0.769,0.015,-0.015,0.081,-0.081,0.011,-0.011
0.8999999999999999,0.85,0.95,1.088,0.017,-0.017,0.044,-0.044,0.011,-0.011
1.0,0.95,1.05,1.162,0.018,-0.018,0.011,-0.011,0.013,-0.013
1.1,1.05,1.15,1.08,0.015,-0.015,0.043,-0.043,0.011,-0.011
1.2,1.15,1.25,0.902,0.014,-0.014,0.03,-0.03,0.01,-0.01
1.3,1.25,1.35,0.725,0.013,-0.013,0.022,-0.022,0.007,-0.007
1.4,1.35,1.45,0.56,0.01,-0.01,0.02,-0.02,0.01,-0.01
1.5,1.45,1.55,0.445,0.009,-0.009,0.015,-0.015,0.005,-0.005
1.6,1.55,1.65,0.3555,0.0078,-0.0078,0.0163,-0.0163,0.0052,-0.0052
1.7,1.65,1.75,0.3059,0.0073,-0.0073,0.0122,-0.0122,0.0048,-0.0048
1.8,1.75,1.85,0.2103,0.0059,-0.0059,0.0046,-0.0046,0.0048,-0.0048
1.9,1.85,1.95,0.1744,0.0057,-0.0057,0.0032,-0.0032,0.0042,-0.0042
2.0,1.95,2.05,0.1625,0.0053,-0.0053,0.007,-0.007,0.0054,-0.0054
2.0999999999999996,2.05,2.15,0.1398,0.0051,-0.0051,0.0062,-0.0062,0.0048,-0.0048
2.2,2.15,2.25,0.1138,0.0038,-0.0038,0.007,-0.007,0.0051,-0.0051
2.3,2.25,2.35,0.1156,0.0048,-0.0048,0.0015,-0.0015,0.0048,-0.0048
2.4000000000000004,2.35,2.45,0.0877,0.0038,-0.0038,0.0073,-0.0073,0.0054,-0.0054
2.5,2.45,2.55,0.0838,0.0036,-0.0036,0.0068,-0.0068,0.0046,-0.0046
2.5999999999999996,2.55,2.65,0.0738,0.0037,-0.0037,0.0009,-0.0009,0.0033,-0.0033
2.7,2.65,2.75,0.065,0.003,-0.003,0.003,-0.003,0.003,-0.003
2.8,2.75,2.85,0.0582,0.0031,-0.0031,0.0014,-0.0014,0.0032,-0.0032
2.9000000000000004,2.85,2.95,0.0527,0.0026,-0.0026,0.0013,-0.0013,0.0033,-0.0033

