#: table_doi: 10.17182/hepdata.90831.v1/t293
#: name: table no 293
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_293.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.01,0.016,-0.016,0.182,-0.182,0.045,-0.045
0.23500000000000001,0.14,0.33,0.246,0.076,-0.076,0.02,-0.02,0.056,-0.056
0.43000000000000005,0.33,0.53,0.12,0.05,-0.05,0.02,-0.02,0.08,-0.08
0.625,0.53,0.72,0.213,0.069,-0.069,0.138,-0.138,0.094,-0.094
0.815,0.72,0.91,0.456,0.091,-0.091,0.068,-0.068,0.092,-0.092
1.0050000000000001,0.91,1.1,0.23,0.063,-0.063,0.182,-0.182,0.088,-0.088
1.195,1.1,1.29,0.218,0.077,-0.077,0.075,-0.075,0.12,-0.12
1.385,1.29,1.48,0.73,0.11,-0.11,0.04,-0.04,0.13,-0.13
1.575,1.48,1.67,0.369,0.065,-0.065,0.07,-0.07,0.125,-0.125
1.7650000000000001,1.67,1.86,0.285,0.059,-0.059,0.083,-0.083,0.142,-0.142
2.1,1.86,2.34,0.267,0.043,-0.043,0.112,-0.112,0.043,-0.043
2.5300000000000002,2.34,2.72,0.1,0.03,-0.03,0.04,-0.04,0.07,-0.07
2.91,2.72,3.1,0.433,0.082,-0.082,0.015,-0.015,0.044,-0.044
3.295,3.1,3.49,0.04,0.02,-0.02,0.05,-0.05,0.06,-0.06
3.68,3.49,3.87,0.13,0.051,-0.051,0.011,-0.011,0.035,-0.035
4.105,3.87,4.34,0.0065,0.0048,-0.0048,0.0066,-0.0066,0.0258,-0.0258
4.58,4.34,4.82,0.024,0.013,-0.013,0.008,-0.008,0.013,-0.013
5.0600000000000005,4.82,5.3,0.001,0.0012,-0.0012,0.0051,-0.0051,0.0112,-0.0112
5.54,5.3,5.78,0.027,0.014,-0.014,0.011,-0.011,0.008,-0.008

