#: table_doi: 10.17182/hepdata.90831.v1/t446
#: name: table no 446
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_446.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,1.144,0.007,-0.007,0.146,-0.146,0.025,-0.025
0.23500000000000001,0.14,0.33,0.8248,0.0062,-0.0062,0.0131,-0.0131,0.0139,-0.0139
0.43000000000000005,0.33,0.53,0.7527,0.0047,-0.0047,0.0141,-0.0141,0.0065,-0.0065
0.625,0.53,0.72,0.5996,0.0041,-0.0041,0.0152,-0.0152,0.0037,-0.0037
0.815,0.72,0.91,0.4744,0.0034,-0.0034,0.0102,-0.0102,0.0029,-0.0029
1.0050000000000001,0.91,1.1,0.3763,0.0028,-0.0028,0.0132,-0.0132,0.0036,-0.0036
1.195,1.1,1.29,0.3013,0.0024,-0.0024,0.0138,-0.0138,0.0038,-0.0038
1.385,1.29,1.48,0.2326,0.0019,-0.0019,0.0137,-0.0137,0.0044,-0.0044
1.575,1.48,1.67,0.18,0.0018,-0.0018,0.0105,-0.0105,0.0044,-0.0044
1.7650000000000001,1.67,1.86,0.1414,0.0016,-0.0016,0.0082,-0.0082,0.0045,-0.0045
2.1,1.86,2.34,0.091,0.001,-0.001,0.006,-0.006,0.002,-0.002
2.5300000000000002,2.34,2.72,0.05105,0.00076,-0.00076,0.00393,-0.00393,0.00208,-0.00208
2.91,2.72,3.1,0.0304,0.0006,-0.0006,0.002,-0.002,0.0014,-0.0014
3.295,3.1,3.49,0.01791,0.00047,-0.00047,0.00077,-0.00077,0.001,-0.001
3.68,3.49,3.87,0.01098,0.00033,-0.00033,0.0005,-0.0005,0.00058,-0.00058
4.105,3.87,4.34,0.00668,0.00026,-0.00026,0.0001,-0.0001,0.00027,-0.00027
4.58,4.34,4.82,0.004,0.00019,-0.00019,8e-05,-8e-05,0.00023,-0.00023
5.0600000000000005,4.82,5.3,0.00256,0.00016,-0.00016,0.00016,-0.00016,0.0002,-0.0002
5.54,5.3,5.78,0.00157,0.00012,-0.00012,0.00011,-0.00011,0.00018,-0.00018

