#: table_doi: 10.17182/hepdata.90831.v1/t450
#: name: table no 450
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_450.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.452,0.014,-0.014,0.051,-0.051,0.016,-0.016
0.23500000000000001,0.14,0.33,0.485,0.013,-0.013,0.027,-0.027,0.011,-0.011
0.43000000000000005,0.33,0.53,0.495,0.012,-0.012,0.012,-0.012,0.009,-0.009
0.625,0.53,0.72,0.486,0.011,-0.011,0.013,-0.013,0.008,-0.008
0.815,0.72,0.91,0.4587,0.0098,-0.0098,0.0077,-0.0077,0.0066,-0.0066
1.0050000000000001,0.91,1.1,0.4182,0.0092,-0.0092,0.0108,-0.0108,0.0057,-0.0057
1.195,1.1,1.29,0.3748,0.0089,-0.0089,0.0071,-0.0071,0.0051,-0.0051
1.385,1.29,1.48,0.3169,0.0067,-0.0067,0.007,-0.007,0.005,-0.005
1.575,1.48,1.67,0.281,0.007,-0.007,0.006,-0.006,0.006,-0.006
1.7650000000000001,1.67,1.86,0.2312,0.0062,-0.0062,0.0047,-0.0047,0.0074,-0.0074
2.1,1.86,2.34,0.1656,0.0039,-0.0039,0.0063,-0.0063,0.0032,-0.0032
2.5300000000000002,2.34,2.72,0.1102,0.0036,-0.0036,0.0052,-0.0052,0.0034,-0.0034
2.91,2.72,3.1,0.079,0.003,-0.003,0.003,-0.003,0.003,-0.003
3.295,3.1,3.49,0.0625,0.0028,-0.0028,0.0014,-0.0014,0.0025,-0.0025
3.68,3.49,3.87,0.0445,0.0024,-0.0024,0.0042,-0.0042,0.0022,-0.0022
4.105,3.87,4.34,0.0303,0.0017,-0.0017,0.0025,-0.0025,0.0013,-0.0013
4.58,4.34,4.82,0.0203,0.0014,-0.0014,0.0011,-0.0011,0.0013,-0.0013
5.0600000000000005,4.82,5.3,0.0185,0.0013,-0.0013,0.0018,-0.0018,0.0013,-0.0013
5.54,5.3,5.78,0.0103,0.0011,-0.0011,0.0025,-0.0025,0.0018,-0.0018

