#: table_doi: 10.17182/hepdata.90831.v1/t111
#: name: table no 111
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transmax region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_111.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.0947,0.0017,-0.0017,0.0098,-0.0098,0.0096,-0.0096
0.195,0.1,0.29,0.293,0.0026,-0.0026,0.0084,-0.0084,0.0107,-0.0107
0.385,0.29,0.48,0.4276,0.0029,-0.0029,0.006,-0.006,0.0117,-0.0117
0.575,0.48,0.67,0.5072,0.0028,-0.0028,0.0043,-0.0043,0.0113,-0.0113
0.765,0.67,0.86,0.5349,0.0027,-0.0027,0.0042,-0.0042,0.0091,-0.0091
0.9550000000000001,0.86,1.05,0.5246,0.0025,-0.0025,0.0049,-0.0049,0.0064,-0.0064
1.145,1.05,1.24,0.4832,0.0022,-0.0022,0.0056,-0.0056,0.0041,-0.0041
1.335,1.24,1.43,0.438,0.002,-0.002,0.006,-0.006,0.003,-0.003
1.525,1.43,1.62,0.381,0.0018,-0.0018,0.005,-0.005,0.0034,-0.0034
1.715,1.62,1.81,0.3238,0.0016,-0.0016,0.0037,-0.0037,0.0045,-0.0045
1.91,1.81,2.01,0.2649,0.0014,-0.0014,0.0027,-0.0027,0.0056,-0.0056
2.105,2.01,2.2,0.2189,0.0013,-0.0013,0.002,-0.002,0.006,-0.006
2.295,2.2,2.39,0.174,0.0012,-0.0012,0.0021,-0.0021,0.0059,-0.0059
2.4850000000000003,2.39,2.58,0.1383,0.0011,-0.0011,0.0023,-0.0023,0.0055,-0.0055
2.675,2.58,2.77,0.10615,0.00097,-0.00097,0.00235,-0.00235,0.00501,-0.00501
2.865,2.77,2.96,0.08114,0.00082,-0.00082,0.00194,-0.00194,0.00445,-0.00445
3.0549999999999997,2.96,3.15,0.06217,0.00072,-0.00072,0.00146,-0.00146,0.00384,-0.00384
3.245,3.15,3.34,0.04694,0.00061,-0.00061,0.0009,-0.0009,0.00329,-0.00329
3.4349999999999996,3.34,3.53,0.03559,0.00052,-0.00052,0.00064,-0.00064,0.00277,-0.00277
3.625,3.53,3.72,0.02741,0.00048,-0.00048,0.00061,-0.00061,0.00229,-0.00229
3.8200000000000003,3.72,3.92,0.01885,0.00039,-0.00039,0.00082,-0.00082,0.00183,-0.00183
4.015000000000001,3.92,4.11,0.01386,0.00034,-0.00034,0.00103,-0.00103,0.00143,-0.00143
4.205,4.11,4.3,0.01167,0.00032,-0.00032,0.00108,-0.00108,0.00111,-0.00111

