#: table_doi: 10.17182/hepdata.90831.v1/t471
#: name: table no 471
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmax region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_471.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.4981,0.0041,-0.0041,0.1182,-0.1182,0.0144,-0.0144
0.48,0.29,0.67,0.58,0.0038,-0.0038,0.0203,-0.0203,0.0086,-0.0086
0.8600000000000001,0.67,1.05,0.4877,0.0033,-0.0033,0.0269,-0.0269,0.0056,-0.0056
1.24,1.05,1.43,0.3347,0.0026,-0.0026,0.0259,-0.0259,0.0035,-0.0035
1.62,1.43,1.81,0.227,0.002,-0.002,0.022,-0.022,0.003,-0.003
2.005,1.81,2.2,0.1638,0.0017,-0.0017,0.0118,-0.0118,0.0024,-0.0024
2.39,2.2,2.58,0.1135,0.0013,-0.0013,0.009,-0.009,0.0021,-0.0021
2.77,2.58,2.96,0.0795,0.0011,-0.0011,0.0061,-0.0061,0.0016,-0.0016
3.15,2.96,3.34,0.05848,0.00099,-0.00099,0.00341,-0.00341,0.00138,-0.00138
3.5300000000000002,3.34,3.72,0.04472,0.00092,-0.00092,0.00288,-0.00288,0.00146,-0.00146
4.2,3.72,4.68,0.0271,0.0005,-0.0005,0.0013,-0.0013,0.0005,-0.0005
5.0600000000000005,4.68,5.44,0.01476,0.00039,-0.00039,0.00072,-0.00072,0.00058,-0.00058

