#: table_doi: 10.17182/hepdata.90831.v1/t20
#: name: table no 20
#: description: away region : low thrust ($T<0.75$) Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_20.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.4307,0.0018,-0.0018,0.0264,-0.0264,0.0043,-0.0043
15.0,10.0,20.0,1.8561,0.0027,-0.0027,0.0288,-0.0288,0.0083,-0.0083
30.0,20.0,40.0,2.5047,0.0041,-0.0041,0.0358,-0.0358,0.0053,-0.0053
50.0,40.0,60.0,3.4,0.01,-0.01,0.04,-0.04,0,0
70.0,60.0,80.0,4.226,0.021,-0.021,0.053,-0.053,0.016,-0.016
100.0,80.0,120.0,5.37,0.035,-0.035,0.076,-0.076,0.014,-0.014
160.0,120.0,200.0,7.403,0.095,-0.095,0.098,-0.098,0.055,-0.055
350.0,200.0,500.0,11.6,0.4,-0.4,0.1,-0.1,0.8,-0.8

