#: table_doi: 10.17182/hepdata.90831.v1/t269
#: name: table no 269
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transmin region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_269.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.127,0.039,-0.039,0.018,-0.018,0.049,-0.049
0.195,0.1,0.29,0.315,0.094,-0.094,0.043,-0.043,0.058,-0.058
0.385,0.29,0.48,0.256,0.084,-0.084,0.096,-0.096,0.062,-0.062
0.575,0.48,0.67,0.142,0.039,-0.039,0.088,-0.088,0.068,-0.068
0.765,0.67,0.86,0.4,0.11,-0.11,0.04,-0.04,0.07,-0.07
0.9550000000000001,0.86,1.05,0.519,0.095,-0.095,0.129,-0.129,0.095,-0.095
1.145,1.05,1.24,0.341,0.066,-0.066,0.036,-0.036,0.087,-0.087
1.335,1.24,1.43,0.422,0.076,-0.076,0.014,-0.014,0.08,-0.08
1.525,1.43,1.62,0.241,0.073,-0.073,0.204,-0.204,0.068,-0.068
1.715,1.62,1.81,0.264,0.062,-0.062,0.113,-0.113,0.08,-0.08
1.91,1.81,2.01,0.196,0.053,-0.053,0.135,-0.135,0.099,-0.099
2.105,2.01,2.2,0.242,0.072,-0.072,0.012,-0.012,0.087,-0.087
2.295,2.2,2.39,0.086,0.017,-0.017,0.033,-0.033,0.13,-0.13
2.4850000000000003,2.39,2.58,0.42,0.11,-0.11,0.05,-0.05,0.1,-0.1
2.675,2.58,2.77,0.107,0.041,-0.041,0.106,-0.106,0.111,-0.111
2.865,2.77,2.96,0.103,0.055,-0.055,0.045,-0.045,0.064,-0.064
3.0549999999999997,2.96,3.15,0.248,0.088,-0.088,0.09,-0.09,0.121,-0.121
3.245,3.15,3.34,0.151,0.057,-0.057,0.133,-0.133,0.137,-0.137
3.4349999999999996,3.34,3.53,0.24,0.086,-0.086,0.025,-0.025,0.156,-0.156
3.625,3.53,3.72,0.218,0.078,-0.078,0.064,-0.064,0.114,-0.114
3.8200000000000003,3.72,3.92,0.049,0.038,-0.038,0.045,-0.045,0.094,-0.094
4.015000000000001,3.92,4.11,0.09,0.05,-0.05,0.09,-0.09,0.06,-0.06
4.205,4.11,4.3,0,0,0,2.8e-05,-2.8e-05,0.048012,-0.048012

