#: table_doi: 10.17182/hepdata.90831.v1/t363
#: name: table no 363
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),away region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_363.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0,2.1e-06,-2.1e-06,0.0001,-0.0001,0.00459,-0.00459
0.6000000000000001,0.55,0.65,0.0226,0.0083,-0.0083,0.0002,-0.0002,0.0061,-0.0061
0.7,0.65,0.75,0.0125,0.0064,-0.0064,0.0123,-0.0123,0.0101,-0.0101
0.8,0.75,0.85,0.064,0.014,-0.014,0.007,-0.007,0.011,-0.011
0.8999999999999999,0.85,0.95,0.149,0.021,-0.021,0.098,-0.098,0.01,-0.01
1.0,0.95,1.05,0.217,0.024,-0.024,0.078,-0.078,0.017,-0.017
1.1,1.05,1.15,0.287,0.025,-0.025,0.19,-0.19,0.017,-0.017
1.2,1.15,1.25,0.34,0.026,-0.026,0.218,-0.218,0.024,-0.024
1.3,1.25,1.35,0.362,0.026,-0.026,0.128,-0.128,0.018,-0.018
1.4,1.35,1.45,0.421,0.028,-0.028,0.094,-0.094,0.023,-0.023
1.5,1.45,1.55,0.482,0.026,-0.026,0.108,-0.108,0.019,-0.019
1.6,1.55,1.65,0.53,0.03,-0.03,0.07,-0.07,0.02,-0.02
1.7,1.65,1.75,0.607,0.034,-0.034,0.058,-0.058,0.026,-0.026
1.8,1.75,1.85,0.612,0.029,-0.029,0.009,-0.009,0.031,-0.031
1.9,1.85,1.95,0.588,0.029,-0.029,0.088,-0.088,0.036,-0.036
2.0,1.95,2.05,0.571,0.029,-0.029,0.097,-0.097,0.028,-0.028
2.0999999999999996,2.05,2.15,0.568,0.029,-0.029,0.107,-0.107,0.025,-0.025
2.2,2.15,2.25,0.498,0.022,-0.022,0.119,-0.119,0.024,-0.024
2.3,2.25,2.35,0.45,0.025,-0.025,0.106,-0.106,0.021,-0.021
2.4000000000000004,2.35,2.45,0.401,0.022,-0.022,0.067,-0.067,0.022,-0.022
2.5,2.45,2.55,0.346,0.022,-0.022,0.02,-0.02,0.019,-0.019
2.5999999999999996,2.55,2.65,0.343,0.019,-0.019,0.011,-0.011,0.018,-0.018
2.7,2.65,2.75,0.257,0.015,-0.015,0.022,-0.022,0.016,-0.016
2.8,2.75,2.85,0.181,0.011,-0.011,0.026,-0.026,0.016,-0.016
2.9000000000000004,2.85,2.95,0.199,0.014,-0.014,0.037,-0.037,0.017,-0.017

