#: table_doi: 10.17182/hepdata.90831.v1/t102
#: name: table no 102
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transmin region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_102.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.6907,0.0032,-0.0032,0.0048,-0.0048,0.0215,-0.0215
0.195,0.1,0.29,0.7444,0.0033,-0.0033,0.0042,-0.0042,0.0182,-0.0182
0.385,0.29,0.48,0.7339,0.0025,-0.0025,0.004,-0.004,0.0124,-0.0124
0.575,0.48,0.67,0.6551,0.0022,-0.0022,0.0046,-0.0046,0.0073,-0.0073
0.765,0.67,0.86,0.554,0.0019,-0.0019,0.0057,-0.0057,0.0045,-0.0045
0.9550000000000001,0.86,1.05,0.4509,0.0016,-0.0016,0.0056,-0.0056,0.0045,-0.0045
1.145,1.05,1.24,0.355,0.0013,-0.0013,0.0043,-0.0043,0.0055,-0.0055
1.335,1.24,1.43,0.2715,0.0011,-0.0011,0.0033,-0.0033,0.0064,-0.0064
1.525,1.43,1.62,0.205,0.001,-0.001,0.003,-0.003,0.007,-0.007
1.715,1.62,1.81,0.15516,0.00091,-0.00091,0.00419,-0.00419,0.00651,-0.00651
1.91,1.81,2.01,0.11449,0.00078,-0.00078,0.0048,-0.0048,0.00592,-0.00592
2.105,2.01,2.2,0.08535,0.00066,-0.00066,0.00471,-0.00471,0.00509,-0.00509
2.295,2.2,2.39,0.06213,0.00054,-0.00054,0.00357,-0.00357,0.00426,-0.00426
2.4850000000000003,2.39,2.58,0.04533,0.00047,-0.00047,0.00234,-0.00234,0.00354,-0.00354
2.675,2.58,2.77,0.03332,0.00039,-0.00039,0.00136,-0.00136,0.00291,-0.00291
2.865,2.77,2.96,0.0231,0.00033,-0.00033,0.00102,-0.00102,0.00231,-0.00231
3.0549999999999997,2.96,3.15,0.01679,0.00028,-0.00028,0.00109,-0.00109,0.0018,-0.0018
3.245,3.15,3.34,0.01163,0.00025,-0.00025,0.00129,-0.00129,0.00139,-0.00139
3.4349999999999996,3.34,3.53,0.00874,0.00022,-0.00022,0.00126,-0.00126,0.00111,-0.00111
3.625,3.53,3.72,0.00591,0.00018,-0.00018,0.00106,-0.00106,0.00086,-0.00086
3.8200000000000003,3.72,3.92,0.00425,0.00016,-0.00016,0.00081,-0.00081,0.00065,-0.00065
4.015000000000001,3.92,4.11,0.00319,0.00016,-0.00016,0.00061,-0.00061,0.00046,-0.00046
4.205,4.11,4.3,0.00206,0.00014,-0.00014,0.0005,-0.0005,0.00032,-0.00032

