#: table_doi: 10.17182/hepdata.90831.v1/t145
#: name: table no 145
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_145.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.7844,0.0063,-0.0063,0.0111,-0.0111,0.0143,-0.0143
0.48,0.29,0.67,0.5707,0.0052,-0.0052,0.0076,-0.0076,0.0085,-0.0085
0.8600000000000001,0.67,1.05,0.4529,0.0041,-0.0041,0.0057,-0.0057,0.0053,-0.0053
1.24,1.05,1.43,0.3211,0.0033,-0.0033,0.004,-0.004,0.0037,-0.0037
1.62,1.43,1.81,0.222,0.0025,-0.0025,0.003,-0.003,0.0038,-0.0038
2.005,1.81,2.2,0.1448,0.0021,-0.0021,0.0021,-0.0021,0.004,-0.004
2.39,2.2,2.58,0.0946,0.0017,-0.0017,0.0015,-0.0015,0.0035,-0.0035
2.77,2.58,2.96,0.0608,0.0012,-0.0012,0.0012,-0.0012,0.0028,-0.0028
3.15,2.96,3.34,0.041,0.001,-0.001,0.001,-0.001,0.002,-0.002
3.5300000000000002,3.34,3.72,0.03047,0.00097,-0.00097,0.00087,-0.00087,0.00197,-0.00197
4.2,3.72,4.68,0.01603,0.00057,-0.00057,0.00037,-0.00037,0.00064,-0.00064
5.0600000000000005,4.68,5.44,0.00805,0.00046,-0.00046,0.00031,-0.00031,0.00064,-0.00064

