#: table_doi: 10.17182/hepdata.90831.v1/t141
#: name: table no 141
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_141.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.169,0.024,-0.024,0.011,-0.011,0.013,-0.013
0.23500000000000001,0.14,0.33,0.2,0.023,-0.023,0.009,-0.009,0.01,-0.01
0.43000000000000005,0.33,0.53,0.28,0.022,-0.022,0.009,-0.009,0.011,-0.011
0.625,0.53,0.72,0.367,0.025,-0.025,0.009,-0.009,0.011,-0.011
0.815,0.72,0.91,0.325,0.025,-0.025,0.007,-0.007,0.011,-0.011
1.0050000000000001,0.91,1.1,0.338,0.022,-0.022,0.006,-0.006,0.011,-0.011
1.195,1.1,1.29,0.297,0.022,-0.022,0.005,-0.005,0.011,-0.011
1.385,1.29,1.48,0.272,0.018,-0.018,0.005,-0.005,0.011,-0.011
1.575,1.48,1.67,0.256,0.018,-0.018,0.005,-0.005,0.01,-0.01
1.7650000000000001,1.67,1.86,0.195,0.014,-0.014,0.005,-0.005,0.009,-0.009
2.1,1.86,2.34,0.186,0.012,-0.012,0.003,-0.003,0.004,-0.004
2.5300000000000002,2.34,2.72,0.163,0.011,-0.011,0.003,-0.003,0.006,-0.006
2.91,2.72,3.1,0.12,0.01,-0.01,0,0,0.01,-0.01
3.295,3.1,3.49,0.1118,0.0094,-0.0094,0.0023,-0.0023,0.0058,-0.0058
3.68,3.49,3.87,0.0838,0.0081,-0.0081,0.0023,-0.0023,0.0054,-0.0054
4.105,3.87,4.34,0.0624,0.0068,-0.0068,0.0021,-0.0021,0.0043,-0.0043
4.58,4.34,4.82,0.0484,0.0048,-0.0048,0.0023,-0.0023,0.0045,-0.0045
5.0600000000000005,4.82,5.3,0.045,0.005,-0.005,0.002,-0.002,0.005,-0.005
5.54,5.3,5.78,0.0506,0.0061,-0.0061,0.0012,-0.0012,0.0048,-0.0048

