#: table_doi: 10.17182/hepdata.90831.v1/t323
#: name: table no 323
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),away region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_323.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.005,0.0027,-0.0027,0.0006,-0.0006,0.0069,-0.0069
0.23500000000000001,0.14,0.33,0.032,0.0077,-0.0077,0.0013,-0.0013,0.0045,-0.0045
0.43000000000000005,0.33,0.53,0.039,0.0089,-0.0089,0.0041,-0.0041,0.0055,-0.0055
0.625,0.53,0.72,0.0392,0.0072,-0.0072,0.0083,-0.0083,0.0045,-0.0045
0.815,0.72,0.91,0.0409,0.0051,-0.0051,0.0022,-0.0022,0.0062,-0.0062
1.0050000000000001,0.91,1.1,0.0699,0.0082,-0.0082,0.0028,-0.0028,0.0062,-0.0062
1.195,1.1,1.29,0.0693,0.0078,-0.0078,0.0023,-0.0023,0.007,-0.007
1.385,1.29,1.48,0.0544,0.0069,-0.0069,0.0011,-0.0011,0.0059,-0.0059
1.575,1.48,1.67,0.06,0.007,-0.007,0.012,-0.012,0.007,-0.007
1.7650000000000001,1.67,1.86,0.086,0.007,-0.007,0.001,-0.001,0.012,-0.012
2.1,1.86,2.34,0.1004,0.0069,-0.0069,0.0061,-0.0061,0.0066,-0.0066
2.5300000000000002,2.34,2.72,0.112,0.0078,-0.0078,0.0211,-0.0211,0.0083,-0.0083
2.91,2.72,3.1,0.1152,0.0072,-0.0072,0.0137,-0.0137,0.0065,-0.0065
3.295,3.1,3.49,0.1253,0.0078,-0.0078,0.0054,-0.0054,0.0048,-0.0048
3.68,3.49,3.87,0.1314,0.0076,-0.0076,0.0224,-0.0224,0.0045,-0.0045
4.105,3.87,4.34,0.1336,0.0076,-0.0076,0.0037,-0.0037,0.0047,-0.0047
4.58,4.34,4.82,0.1467,0.0081,-0.0081,0.0166,-0.0166,0.0063,-0.0063
5.0600000000000005,4.82,5.3,0.1431,0.0072,-0.0072,0.0044,-0.0044,0.0072,-0.0072
5.54,5.3,5.78,0.1267,0.0067,-0.0067,0.0096,-0.0096,0.008,-0.008

