#: table_doi: 10.17182/hepdata.90831.v1/t9
#: name: table no 9
#: description: transmax region: Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_9.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.1876,0.0013,-0.0013,0.0266,-0.0266,0.0014,-0.0014
15.0,10.0,20.0,1.2984,0.0016,-0.0016,0.0261,-0.0261,0.0074,-0.0074
30.0,20.0,40.0,1.4047,0.0019,-0.0019,0.0267,-0.0267,0.0072,-0.0072
50.0,40.0,60.0,1.5143,0.0033,-0.0033,0.029,-0.029,0.0112,-0.0112
70.0,60.0,80.0,1.5927,0.0052,-0.0052,0.0284,-0.0284,0.0143,-0.0143
100.0,80.0,120.0,1.681,0.006,-0.006,0.03,-0.03,0.01,-0.01
160.0,120.0,200.0,1.7693,0.0089,-0.0089,0.0297,-0.0297,0.0102,-0.0102
350.0,200.0,500.0,1.92,0.02,-0.02,0.03,-0.03,0.01,-0.01

