#: table_doi: 10.17182/hepdata.90831.v1/t339
#: name: table no 339
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),transverse region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_339.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0,0,0,0.000365,-0.000365,0.001634,-0.001634
0.6000000000000001,0.55,0.65,0.0134,0.0065,-0.0065,0.0042,-0.0042,0.0037,-0.0037
0.7,0.65,0.75,0.035,0.011,-0.011,0.013,-0.013,0.006,-0.006
0.8,0.75,0.85,0.14,0.02,-0.02,0.02,-0.02,0.01,-0.01
0.8999999999999999,0.85,0.95,0.447,0.035,-0.035,0.023,-0.023,0.017,-0.017
1.0,0.95,1.05,0.865,0.045,-0.045,0.044,-0.044,0.025,-0.025
1.1,1.05,1.15,1.258,0.056,-0.056,0.04,-0.04,0.033,-0.033
1.2,1.15,1.25,1.179,0.056,-0.056,0.02,-0.02,0.041,-0.041
1.3,1.25,1.35,1.066,0.045,-0.045,0.058,-0.058,0.037,-0.037
1.4,1.35,1.45,0.994,0.044,-0.044,0.032,-0.032,0.036,-0.036
1.5,1.45,1.55,0.761,0.039,-0.039,0.023,-0.023,0.027,-0.027
1.6,1.55,1.65,0.487,0.029,-0.029,0.021,-0.021,0.028,-0.028
1.7,1.65,1.75,0.379,0.026,-0.026,0.035,-0.035,0.02,-0.02
1.8,1.75,1.85,0.338,0.025,-0.025,0.033,-0.033,0.02,-0.02
1.9,1.85,1.95,0.327,0.025,-0.025,0.028,-0.028,0.018,-0.018
2.0,1.95,2.05,0.311,0.023,-0.023,0.004,-0.004,0.019,-0.019
2.0999999999999996,2.05,2.15,0.224,0.022,-0.022,0.004,-0.004,0.014,-0.014
2.2,2.15,2.25,0.167,0.016,-0.016,0.014,-0.014,0.014,-0.014
2.3,2.25,2.35,0.115,0.011,-0.011,0.004,-0.004,0.014,-0.014
2.4000000000000004,2.35,2.45,0.102,0.013,-0.013,0.016,-0.016,0.016,-0.016
2.5,2.45,2.55,0.096,0.011,-0.011,0.025,-0.025,0.018,-0.018
2.5999999999999996,2.55,2.65,0.101,0.016,-0.016,0.004,-0.004,0.016,-0.016
2.7,2.65,2.75,0.057,0.011,-0.011,0.006,-0.006,0.02,-0.02
2.8,2.75,2.85,0.0479,0.0088,-0.0088,0.0068,-0.0068,0.0159,-0.0159
2.9000000000000004,2.85,2.95,0.0228,0.0058,-0.0058,0.0078,-0.0078,0.0152,-0.0152

