#: table_doi: 10.17182/hepdata.90831.v1/t251
#: name: table no 251
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),toward region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_251.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.04,0.012,-0.012,0.004,-0.004,0.007,-0.007
0.095,0.05,0.14,0.102,0.019,-0.019,0.006,-0.006,0.012,-0.012
0.19,0.14,0.24,0.165,0.022,-0.022,0.024,-0.024,0.017,-0.017
0.28500000000000003,0.24,0.33,0.23,0.02,-0.02,0.02,-0.02,0.02,-0.02
0.38,0.33,0.43,0.283,0.022,-0.022,0.013,-0.013,0.02,-0.02
0.48,0.43,0.53,0.358,0.024,-0.024,0.024,-0.024,0.02,-0.02
0.575,0.53,0.62,0.41,0.022,-0.022,0.049,-0.049,0.02,-0.02
0.6699999999999999,0.62,0.72,0.459,0.026,-0.026,0.039,-0.039,0.019,-0.019
0.765,0.72,0.81,0.41,0.02,-0.02,0.03,-0.03,0.02,-0.02
0.8600000000000001,0.81,0.91,0.496,0.025,-0.025,0.014,-0.014,0.02,-0.02
0.9550000000000001,0.91,1.0,0.501,0.025,-0.025,0.046,-0.046,0.022,-0.022
1.05,1.0,1.1,0.501,0.023,-0.023,0.012,-0.012,0.024,-0.024
1.145,1.1,1.19,0.537,0.024,-0.024,0.062,-0.062,0.027,-0.027
1.24,1.19,1.29,0.488,0.017,-0.017,0.009,-0.009,0.022,-0.022
1.335,1.29,1.38,0.497,0.023,-0.023,0.017,-0.017,0.018,-0.018
1.43,1.38,1.48,0.44,0.02,-0.02,0.02,-0.02,0.02,-0.02
1.53,1.48,1.58,0.418,0.021,-0.021,0.014,-0.014,0.02,-0.02
1.625,1.58,1.67,0.411,0.022,-0.022,0.014,-0.014,0.025,-0.025
1.72,1.67,1.77,0.401,0.019,-0.019,0.062,-0.062,0.028,-0.028
1.815,1.77,1.86,0.336,0.016,-0.016,0.034,-0.034,0.028,-0.028
1.9100000000000001,1.86,1.96,0.354,0.019,-0.019,0.033,-0.033,0.022,-0.022
2.005,1.96,2.05,0.353,0.018,-0.018,0.007,-0.007,0.02,-0.02
2.0999999999999996,2.05,2.15,0.352,0.028,-0.028,0.024,-0.024,0.018,-0.018
2.1950000000000003,2.15,2.24,0.262,0.017,-0.017,0.003,-0.003,0.02,-0.02
2.29,2.24,2.34,0.259,0.016,-0.016,0.014,-0.014,0.017,-0.017
2.3899999999999997,2.34,2.44,0.182,0.013,-0.013,0.017,-0.017,0.016,-0.016
2.485,2.44,2.53,0.161,0.011,-0.011,0.02,-0.02,0.011,-0.011
2.58,2.53,2.63,0.152,0.013,-0.013,0.014,-0.014,0.012,-0.012
2.7249999999999996,2.63,2.82,0.14,0.01,-0.01,0,0,0.01,-0.01
2.915,2.82,3.01,0.0916,0.0084,-0.0084,0.0144,-0.0144,0.0094,-0.0094
3.105,3.01,3.2,0.0579,0.0075,-0.0075,0.0147,-0.0147,0.0082,-0.0082
3.295,3.2,3.39,0.0351,0.0042,-0.0042,0.0053,-0.0053,0.0078,-0.0078
3.4850000000000003,3.39,3.58,0.0466,0.0067,-0.0067,0.0009,-0.0009,0.0073,-0.0073
3.725,3.58,3.87,0.0249,0.0051,-0.0051,0.0014,-0.0014,0.0054,-0.0054
4.105,3.87,4.34,0.0202,0.0041,-0.0041,0.0113,-0.0113,0.0025,-0.0025

