#: table_doi: 10.17182/hepdata.90831.v1/t139
#: name: table no 139
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_139.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.214,0.0089,-0.0089,0.0116,-0.0116,0.0124,-0.0124
0.23500000000000001,0.14,0.33,0.2882,0.0093,-0.0093,0.008,-0.008,0.0095,-0.0095
0.43000000000000005,0.33,0.53,0.3454,0.0091,-0.0091,0.007,-0.007,0.009,-0.009
0.625,0.53,0.72,0.3844,0.0088,-0.0088,0.0056,-0.0056,0.0085,-0.0085
0.815,0.72,0.91,0.3951,0.0082,-0.0082,0.0048,-0.0048,0.0071,-0.0071
1.0050000000000001,0.91,1.1,0.3753,0.0082,-0.0082,0.0038,-0.0038,0.0057,-0.0057
1.195,1.1,1.29,0.3585,0.0075,-0.0075,0.0034,-0.0034,0.0044,-0.0044
1.385,1.29,1.48,0.32,0.007,-0.007,0.003,-0.003,0.003,-0.003
1.575,1.48,1.67,0.2748,0.0062,-0.0062,0.0032,-0.0032,0.0035,-0.0035
1.7650000000000001,1.67,1.86,0.255,0.0059,-0.0059,0.0032,-0.0032,0.0044,-0.0044
2.1,1.86,2.34,0.2113,0.0041,-0.0041,0.0018,-0.0018,0.0025,-0.0025
2.5300000000000002,2.34,2.72,0.1598,0.0037,-0.0037,0.0016,-0.0016,0.0035,-0.0035
2.91,2.72,3.1,0.1156,0.0032,-0.0032,0.0014,-0.0014,0.0034,-0.0034
3.295,3.1,3.49,0.0924,0.0029,-0.0029,0.0011,-0.0011,0.0027,-0.0027
3.68,3.49,3.87,0.0713,0.0025,-0.0025,0.001,-0.001,0.0022,-0.0022
4.105,3.87,4.34,0.053,0.002,-0.002,0.001,-0.001,0.002,-0.002
4.58,4.34,4.82,0.0404,0.0017,-0.0017,0.0005,-0.0005,0.0016,-0.0016
5.0600000000000005,4.82,5.3,0.0292,0.0014,-0.0014,0.0005,-0.0005,0.0015,-0.0015
5.54,5.3,5.78,0.0222,0.0012,-0.0012,0.0006,-0.0006,0.0013,-0.0013

