#: table_doi: 10.17182/hepdata.90831.v1/t36
#: name: table no 36
#: description: Figure 04b from auxiliary figures,  mean nTracks toward high thrust, toward region : hight thrust ($0.75\leq T$) Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_36.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.7164,0.0013,-0.0013,0.0141,-0.0141,0.0291,-0.0291
15.0,10.0,20.0,0.7987,0.0016,-0.0016,0.0151,-0.0151,0.0311,-0.0311
30.0,20.0,40.0,0.9025,0.0017,-0.0017,0.017,-0.017,0.0267,-0.0267
50.0,40.0,60.0,1.004,0.003,-0.003,0.018,-0.018,0.025,-0.025
70.0,60.0,80.0,1.0643,0.0047,-0.0047,0.0196,-0.0196,0.0268,-0.0268
100.0,80.0,120.0,1.117,0.005,-0.005,0.022,-0.022,0.019,-0.019
160.0,120.0,200.0,1.183,0.0072,-0.0072,0.0202,-0.0202,0.0129,-0.0129
350.0,200.0,500.0,1.228,0.014,-0.014,0.021,-0.021,0.011,-0.011

