#: table_doi: 10.17182/hepdata.90831.v1/t6
#: name: table no 6
#: description: Figure 09b,  mean nTracks toward, toward region: Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_6.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.93781,0.00096,-0.00096,0.02191,-0.02191,0.00105,-0.00105
15.0,10.0,20.0,0.9951,0.0013,-0.0013,0.0222,-0.0222,0.0055,-0.0055
30.0,20.0,40.0,1.0522,0.0015,-0.0015,0.0228,-0.0228,0.0053,-0.0053
50.0,40.0,60.0,1.1108,0.0027,-0.0027,0.0234,-0.0234,0.0077,-0.0077
70.0,60.0,80.0,1.1504,0.0041,-0.0041,0.023,-0.023,0.0116,-0.0116
100.0,80.0,120.0,1.1819,0.0047,-0.0047,0.0246,-0.0246,0.0078,-0.0078
160.0,120.0,200.0,1.224,0.007,-0.007,0.023,-0.023,0.006,-0.006
350.0,200.0,500.0,1.259,0.014,-0.014,0.023,-0.023,0.01,-0.01

