#: table_doi: 10.17182/hepdata.90831.v1/t299
#: name: table no 299
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transverse region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_299.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.004,0.0033,-0.0033,0.0018,-0.0018,0.0036,-0.0036
0.23500000000000001,0.14,0.33,0.0434,0.0077,-0.0077,0.0024,-0.0024,0.003,-0.003
0.43000000000000005,0.33,0.53,0.0476,0.0077,-0.0077,0.0034,-0.0034,0.0036,-0.0036
0.625,0.53,0.72,0.0834,0.0092,-0.0092,0.0093,-0.0093,0.0085,-0.0085
0.815,0.72,0.91,0.143,0.012,-0.012,0.003,-0.003,0.01,-0.01
1.0050000000000001,0.91,1.1,0.175,0.014,-0.014,0.005,-0.005,0.013,-0.013
1.195,1.1,1.29,0.213,0.013,-0.013,0.004,-0.004,0.01,-0.01
1.385,1.29,1.48,0.248,0.014,-0.014,0.007,-0.007,0.009,-0.009
1.575,1.48,1.67,0.261,0.014,-0.014,0.004,-0.004,0.01,-0.01
1.7650000000000001,1.67,1.86,0.29,0.016,-0.016,0.007,-0.007,0.013,-0.013
2.1,1.86,2.34,0.306,0.011,-0.011,0.004,-0.004,0.006,-0.006
2.5300000000000002,2.34,2.72,0.272,0.012,-0.012,0.01,-0.01,0.007,-0.007
2.91,2.72,3.1,0.24,0.01,-0.01,0.01,-0.01,0.01,-0.01
3.295,3.1,3.49,0.213,0.0099,-0.0099,0.0013,-0.0013,0.0068,-0.0068
3.68,3.49,3.87,0.1591,0.0088,-0.0088,0.0098,-0.0098,0.0068,-0.0068
4.105,3.87,4.34,0.1212,0.0068,-0.0068,0.0057,-0.0057,0.0055,-0.0055
4.58,4.34,4.82,0.0931,0.0058,-0.0058,0.0015,-0.0015,0.0057,-0.0057
5.0600000000000005,4.82,5.3,0.0736,0.0052,-0.0052,0.0013,-0.0013,0.0047,-0.0047
5.54,5.3,5.78,0.0413,0.0038,-0.0038,0.0044,-0.0044,0.0051,-0.0051

