#: table_doi: 10.17182/hepdata.90831.v1/t441
#: name: table no 441
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),away region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_441.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.0156,0.0023,-0.0023,0.0018,-0.0018,0.0013,-0.0013
0.095,0.05,0.14,0.0298,0.0032,-0.0032,0.0025,-0.0025,0.0013,-0.0013
0.19,0.14,0.24,0.0496,0.0037,-0.0037,0.0016,-0.0016,0.0022,-0.0022
0.28500000000000003,0.24,0.33,0.0756,0.0044,-0.0044,0.0017,-0.0017,0.0031,-0.0031
0.38,0.33,0.43,0.0942,0.0044,-0.0044,0.0045,-0.0045,0.0045,-0.0045
0.48,0.43,0.53,0.1202,0.0041,-0.0041,0.0048,-0.0048,0.006,-0.006
0.575,0.53,0.62,0.1831,0.0053,-0.0053,0.0056,-0.0056,0.008,-0.008
0.6699999999999999,0.62,0.72,0.2362,0.0058,-0.0058,0.0114,-0.0114,0.01,-0.01
0.765,0.72,0.81,0.2901,0.0064,-0.0064,0.0082,-0.0082,0.0118,-0.0118
0.8600000000000001,0.81,0.91,0.3574,0.0066,-0.0066,0.0091,-0.0091,0.0137,-0.0137
0.9550000000000001,0.91,1.0,0.4173,0.0064,-0.0064,0.0206,-0.0206,0.0141,-0.0141
1.05,1.0,1.1,0.4564,0.0069,-0.0069,0.0108,-0.0108,0.0141,-0.0141
1.145,1.1,1.19,0.4902,0.0072,-0.0072,0.0124,-0.0124,0.0113,-0.0113
1.24,1.19,1.29,0.5195,0.0071,-0.0071,0.013,-0.013,0.0092,-0.0092
1.335,1.29,1.38,0.5333,0.0071,-0.0071,0.0148,-0.0148,0.0071,-0.0071
1.43,1.38,1.48,0.5263,0.0067,-0.0067,0.0124,-0.0124,0.0067,-0.0067
1.53,1.48,1.58,0.543,0.007,-0.007,0.013,-0.013,0.006,-0.006
1.625,1.58,1.67,0.5272,0.0067,-0.0067,0.014,-0.014,0.0056,-0.0056
1.72,1.67,1.77,0.5085,0.0063,-0.0063,0.0122,-0.0122,0.0051,-0.0051
1.815,1.77,1.86,0.4715,0.0058,-0.0058,0.0121,-0.0121,0.0052,-0.0052
1.9100000000000001,1.86,1.96,0.454,0.006,-0.006,0.011,-0.011,0.006,-0.006
2.005,1.96,2.05,0.4215,0.0058,-0.0058,0.0106,-0.0106,0.0066,-0.0066
2.0999999999999996,2.05,2.15,0.3959,0.0057,-0.0057,0.0102,-0.0102,0.0073,-0.0073
2.1950000000000003,2.15,2.24,0.3493,0.0053,-0.0053,0.0107,-0.0107,0.0078,-0.0078
2.29,2.24,2.34,0.3042,0.0047,-0.0047,0.0142,-0.0142,0.0076,-0.0076
2.3899999999999997,2.34,2.44,0.2772,0.0045,-0.0045,0.0102,-0.0102,0.0075,-0.0075
2.485,2.44,2.53,0.2502,0.0041,-0.0041,0.0088,-0.0088,0.0083,-0.0083
2.58,2.53,2.63,0.2208,0.0039,-0.0039,0.0069,-0.0069,0.0111,-0.0111
2.7249999999999996,2.63,2.82,0.1811,0.0033,-0.0033,0.0059,-0.0059,0.0064,-0.0064
2.915,2.82,3.01,0.14,0.003,-0.003,0.004,-0.004,0.006,-0.006
3.105,3.01,3.2,0.1028,0.0026,-0.0026,0.0046,-0.0046,0.0054,-0.0054
3.295,3.2,3.39,0.0788,0.0025,-0.0025,0.003,-0.003,0.0043,-0.0043
3.4850000000000003,3.39,3.58,0.0532,0.0019,-0.0019,0.0037,-0.0037,0.0043,-0.0043
3.725,3.58,3.87,0.0357,0.0014,-0.0014,0.0022,-0.0022,0.0029,-0.0029
4.105,3.87,4.34,0.01622,0.00089,-0.00089,0.00121,-0.00121,0.00135,-0.00135

