#: table_doi: 10.17182/hepdata.90831.v1/t40
#: name: table no 40
#: description: away region : hight thrust ($0.75\leq T$) Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_40.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.8386,0.0013,-0.0013,0.0162,-0.0162,0.0257,-0.0257
15.0,10.0,20.0,1.1043,0.0017,-0.0017,0.018,-0.018,0.0212,-0.0212
30.0,20.0,40.0,1.412,0.002,-0.002,0.022,-0.022,0.018,-0.018
50.0,40.0,60.0,1.7253,0.0034,-0.0034,0.0242,-0.0242,0.0154,-0.0154
70.0,60.0,80.0,1.9458,0.0054,-0.0054,0.0271,-0.0271,0.0136,-0.0136
100.0,80.0,120.0,2.1793,0.0061,-0.0061,0.03,-0.03,0.0135,-0.0135
160.0,120.0,200.0,2.5002,0.0092,-0.0092,0.0333,-0.0333,0.0071,-0.0071
350.0,200.0,500.0,2.944,0.021,-0.021,0.033,-0.033,0.02,-0.02

