#: table_doi: 10.17182/hepdata.90831.v1/t478
#: name: table no 478
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),away region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_478.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.6029,0.0056,-0.0056,0.0801,-0.0801,0.0206,-0.0206
0.23500000000000001,0.14,0.33,0.6813,0.0056,-0.0056,0.0273,-0.0273,0.0127,-0.0127
0.43000000000000005,0.33,0.53,0.7051,0.0047,-0.0047,0.0017,-0.0017,0.0082,-0.0082
0.625,0.53,0.72,0.6396,0.0043,-0.0043,0.0075,-0.0075,0.004,-0.004
0.815,0.72,0.91,0.5445,0.0036,-0.0036,0.0086,-0.0086,0.0027,-0.0027
1.0050000000000001,0.91,1.1,0.4454,0.0031,-0.0031,0.0102,-0.0102,0.0029,-0.0029
1.195,1.1,1.29,0.3649,0.0026,-0.0026,0.0043,-0.0043,0.0034,-0.0034
1.385,1.29,1.48,0.2961,0.0022,-0.0022,0.0105,-0.0105,0.0037,-0.0037
1.575,1.48,1.67,0.2354,0.0021,-0.0021,0.0106,-0.0106,0.004,-0.004
1.7650000000000001,1.67,1.86,0.1863,0.0018,-0.0018,0.0074,-0.0074,0.005,-0.005
2.1,1.86,2.34,0.1232,0.0012,-0.0012,0.0041,-0.0041,0.0021,-0.0021
2.5300000000000002,2.34,2.72,0.07153,0.00088,-0.00088,0.00367,-0.00367,0.00267,-0.00267
2.91,2.72,3.1,0.04402,0.00076,-0.00076,0.00201,-0.00201,0.00188,-0.00188
3.295,3.1,3.49,0.02604,0.00054,-0.00054,0.00133,-0.00133,0.00136,-0.00136
3.68,3.49,3.87,0.0152,0.0004,-0.0004,0.0003,-0.0003,0.0009,-0.0009
4.105,3.87,4.34,0.00938,0.00031,-0.00031,0.00037,-0.00037,0.00053,-0.00053
4.58,4.34,4.82,0.00554,0.00023,-0.00023,0.00021,-0.00021,0.00034,-0.00034
5.0600000000000005,4.82,5.3,0.00345,0.00018,-0.00018,0.00019,-0.00019,0.00021,-0.00021
5.54,5.3,5.78,0.00239,0.00016,-0.00016,0.00011,-0.00011,0.00019,-0.00019

