#: table_doi: 10.17182/hepdata.90831.v1/t497
#: name: table no 497
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),transverse region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_497.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.032,0.0035,-0.0035,0.0311,-0.0311,0.0067,-0.0067
0.6000000000000001,0.55,0.65,0.1933,0.0092,-0.0092,0.0313,-0.0313,0.008,-0.008
0.7,0.65,0.75,0.47,0.012,-0.012,0.085,-0.085,0.009,-0.009
0.8,0.75,0.85,0.893,0.017,-0.017,0.091,-0.091,0.011,-0.011
0.8999999999999999,0.85,0.95,1.33,0.019,-0.019,0.028,-0.028,0.011,-0.011
1.0,0.95,1.05,1.438,0.018,-0.018,0.017,-0.017,0.012,-0.012
1.1,1.05,1.15,1.218,0.017,-0.017,0.05,-0.05,0.01,-0.01
1.2,1.15,1.25,0.931,0.013,-0.013,0.038,-0.038,0.009,-0.009
1.3,1.25,1.35,0.717,0.012,-0.012,0.024,-0.024,0.008,-0.008
1.4,1.35,1.45,0.5251,0.0097,-0.0097,0.0215,-0.0215,0.0071,-0.0071
1.5,1.45,1.55,0.3866,0.0081,-0.0081,0.0092,-0.0092,0.005,-0.005
1.6,1.55,1.65,0.2912,0.0069,-0.0069,0.0074,-0.0074,0.0052,-0.0052
1.7,1.65,1.75,0.2248,0.0056,-0.0056,0.0026,-0.0026,0.0047,-0.0047
1.8,1.75,1.85,0.1709,0.0052,-0.0052,0.0021,-0.0021,0.0059,-0.0059
1.9,1.85,1.95,0.1313,0.0043,-0.0043,0.0039,-0.0039,0.0037,-0.0037
2.0,1.95,2.05,0.1167,0.0035,-0.0035,0.0081,-0.0081,0.0038,-0.0038
2.0999999999999996,2.05,2.15,0.0931,0.0035,-0.0035,0.0093,-0.0093,0.0028,-0.0028
2.2,2.15,2.25,0.08,0.003,-0.003,0.003,-0.003,0.003,-0.003
2.3,2.25,2.35,0.0755,0.0032,-0.0032,0.0056,-0.0056,0.0032,-0.0032
2.4000000000000004,2.35,2.45,0.073,0.003,-0.003,0.002,-0.002,0.003,-0.003
2.5,2.45,2.55,0.0569,0.0027,-0.0027,0.0068,-0.0068,0.004,-0.004
2.5999999999999996,2.55,2.65,0.0598,0.0028,-0.0028,0.0032,-0.0032,0.0035,-0.0035
2.7,2.65,2.75,0.045,0.0018,-0.0018,0.0024,-0.0024,0.0037,-0.0037
2.8,2.75,2.85,0.047,0.0031,-0.0031,0.0006,-0.0006,0.0036,-0.0036
2.9000000000000004,2.85,2.95,0.0433,0.0024,-0.0024,0.0009,-0.0009,0.0035,-0.0035

