#: table_doi: 10.17182/hepdata.90831.v1/t473
#: name: table no 473
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmax region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_473.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.2565,0.0053,-0.0053,0.0322,-0.0322,0.0112,-0.0112
0.48,0.29,0.67,0.386,0.006,-0.006,0.028,-0.028,0.007,-0.007
0.8600000000000001,0.67,1.05,0.4312,0.0058,-0.0058,0.0216,-0.0216,0.0046,-0.0046
1.24,1.05,1.43,0.3779,0.0051,-0.0051,0.007,-0.007,0.0027,-0.0027
1.62,1.43,1.81,0.2822,0.0039,-0.0039,0.0137,-0.0137,0.0029,-0.0029
2.005,1.81,2.2,0.2125,0.0033,-0.0033,0.0128,-0.0128,0.0036,-0.0036
2.39,2.2,2.58,0.1437,0.0027,-0.0027,0.0136,-0.0136,0.0036,-0.0036
2.77,2.58,2.96,0.1115,0.0023,-0.0023,0.0068,-0.0068,0.0031,-0.0031
3.15,2.96,3.34,0.0827,0.0019,-0.0019,0.0066,-0.0066,0.0022,-0.0022
3.5300000000000002,3.34,3.72,0.0573,0.0017,-0.0017,0.0052,-0.0052,0.0023,-0.0023
4.2,3.72,4.68,0.0398,0.0011,-0.0011,0.0022,-0.0022,0.0009,-0.0009
5.0600000000000005,4.68,5.44,0.02712,0.00088,-0.00088,0.00099,-0.00099,0.00104,-0.00104

