#: table_doi: 10.17182/hepdata.90831.v1/t137
#: name: table no 137
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_137.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.2786,0.0056,-0.0056,0.0143,-0.0143,0.0145,-0.0145
0.23500000000000001,0.14,0.33,0.3452,0.0056,-0.0056,0.0099,-0.0099,0.0104,-0.0104
0.43000000000000005,0.33,0.53,0.422,0.005,-0.005,0.008,-0.008,0.009,-0.009
0.625,0.53,0.72,0.4457,0.0051,-0.0051,0.0066,-0.0066,0.0074,-0.0074
0.815,0.72,0.91,0.4377,0.0046,-0.0046,0.0056,-0.0056,0.0057,-0.0057
1.0050000000000001,0.91,1.1,0.4139,0.0048,-0.0048,0.0048,-0.0048,0.0044,-0.0044
1.195,1.1,1.29,0.3813,0.0045,-0.0045,0.004,-0.004,0.0034,-0.0034
1.385,1.29,1.48,0.3371,0.0039,-0.0039,0.0033,-0.0033,0.0031,-0.0031
1.575,1.48,1.67,0.3008,0.0037,-0.0037,0.0029,-0.0029,0.0036,-0.0036
1.7650000000000001,1.67,1.86,0.2654,0.0034,-0.0034,0.0026,-0.0026,0.0053,-0.0053
2.1,1.86,2.34,0.2043,0.0023,-0.0023,0.0017,-0.0017,0.0027,-0.0027
2.5300000000000002,2.34,2.72,0.1484,0.0023,-0.0023,0.0013,-0.0013,0.0034,-0.0034
2.91,2.72,3.1,0.1057,0.0018,-0.0018,0.0011,-0.0011,0.0029,-0.0029
3.295,3.1,3.49,0.0776,0.0015,-0.0015,0.0009,-0.0009,0.0024,-0.0024
3.68,3.49,3.87,0.0552,0.0013,-0.0013,0.0009,-0.0009,0.0021,-0.0021
4.105,3.87,4.34,0.04,0.001,-0.001,0.001,-0.001,0.001,-0.001
4.58,4.34,4.82,0.02923,0.00095,-0.00095,0.00087,-0.00087,0.00127,-0.00127
5.0600000000000005,4.82,5.3,0.02041,0.00082,-0.00082,0.00094,-0.00094,0.00104,-0.00104
5.54,5.3,5.78,0.01398,0.00067,-0.00067,0.00099,-0.00099,0.0009,-0.0009

