#: table_doi: 10.17182/hepdata.90831.v1/t133
#: name: table no 133
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_133.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.32,0.029,-0.029,0.012,-0.012,0.018,-0.018
0.23500000000000001,0.14,0.33,0.315,0.031,-0.031,0.008,-0.008,0.013,-0.013
0.43000000000000005,0.33,0.53,0.386,0.027,-0.027,0.007,-0.007,0.014,-0.014
0.625,0.53,0.72,0.406,0.023,-0.023,0.007,-0.007,0.013,-0.013
0.815,0.72,0.91,0.457,0.025,-0.025,0.008,-0.008,0.012,-0.012
1.0050000000000001,0.91,1.1,0.377,0.022,-0.022,0.006,-0.006,0.01,-0.01
1.195,1.1,1.29,0.317,0.019,-0.019,0.005,-0.005,0.01,-0.01
1.385,1.29,1.48,0.27,0.018,-0.018,0.004,-0.004,0.009,-0.009
1.575,1.48,1.67,0.271,0.018,-0.018,0.005,-0.005,0.01,-0.01
1.7650000000000001,1.67,1.86,0.228,0.016,-0.016,0.006,-0.006,0.01,-0.01
2.1,1.86,2.34,0.166,0.011,-0.011,0.003,-0.003,0.005,-0.005
2.5300000000000002,2.34,2.72,0.1211,0.0095,-0.0095,0.0024,-0.0024,0.0064,-0.0064
2.91,2.72,3.1,0.098,0.0088,-0.0088,0.0018,-0.0018,0.0072,-0.0072
3.295,3.1,3.49,0.0888,0.0086,-0.0086,0.0016,-0.0016,0.0079,-0.0079
3.68,3.49,3.87,0.0923,0.0099,-0.0099,0.0022,-0.0022,0.008,-0.008
4.105,3.87,4.34,0.05,0.0059,-0.0059,0.0016,-0.0016,0.006,-0.006
4.58,4.34,4.82,0.0463,0.0063,-0.0063,0.0013,-0.0013,0.0051,-0.0051
5.0600000000000005,4.82,5.3,0.0283,0.0049,-0.0049,0.0009,-0.0009,0.0046,-0.0046
5.54,5.3,5.78,0.0224,0.0038,-0.0038,0.0009,-0.0009,0.0048,-0.0048

