#: table_doi: 10.17182/hepdata.90831.v1/t313
#: name: table no 313
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmax region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_313.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.0105,0.0017,-0.0017,0.0038,-0.0038,0.0035,-0.0035
0.48,0.29,0.67,0.0672,0.0035,-0.0035,0.0061,-0.0061,0.0037,-0.0037
0.8600000000000001,0.67,1.05,0.166,0.005,-0.005,0.008,-0.008,0.006,-0.006
1.24,1.05,1.43,0.2466,0.0055,-0.0055,0.0137,-0.0137,0.0068,-0.0068
1.62,1.43,1.81,0.3051,0.0057,-0.0057,0.0061,-0.0061,0.0055,-0.0055
2.005,1.81,2.2,0.3153,0.0057,-0.0057,0.0063,-0.0063,0.0036,-0.0036
2.39,2.2,2.58,0.2926,0.0052,-0.0052,0.0052,-0.0052,0.0024,-0.0024
2.77,2.58,2.96,0.254,0.005,-0.005,0.004,-0.004,0.002,-0.002
3.15,2.96,3.34,0.204,0.0042,-0.0042,0.0039,-0.0039,0.0021,-0.0021
3.5300000000000002,3.34,3.72,0.17,0.004,-0.004,0.003,-0.003,0.004,-0.004
4.2,3.72,4.68,0.112,0.0024,-0.0024,0.0017,-0.0017,0.002,-0.002
5.0600000000000005,4.68,5.44,0.0608,0.0019,-0.0019,0.0016,-0.0016,0.0027,-0.0027

