#: table_doi: 10.17182/hepdata.90831.v1/t24
#: name: table no 24
#: description: transmax region : low thrust ($T<0.75$) Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_24.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.4409,0.0018,-0.0018,0.028,-0.028,0.0129,-0.0129
15.0,10.0,20.0,1.587,0.0021,-0.0021,0.0276,-0.0276,0.0123,-0.0123
30.0,20.0,40.0,1.7715,0.0028,-0.0028,0.0284,-0.0284,0.0117,-0.0117
50.0,40.0,60.0,1.983,0.006,-0.006,0.031,-0.031,0.006,-0.006
70.0,60.0,80.0,2.145,0.011,-0.011,0.032,-0.032,0.005,-0.005
100.0,80.0,120.0,2.319,0.014,-0.014,0.036,-0.036,0.012,-0.012
160.0,120.0,200.0,2.528,0.025,-0.025,0.036,-0.036,0.025,-0.025
350.0,200.0,500.0,3.006,0.071,-0.071,0.054,-0.054,0.042,-0.042

