#: table_doi: 10.17182/hepdata.90831.v1/t28
#: name: table no 28
#: description: Figure 12a,  mean meanPt transmin low thrust, transmin region : low thrust ($T<0.75$) Mean of arithmetic mean of transverse momenta ($\langle mean p_{T} \rangle \pm stat. \pm syst.det.\pm syst.gen.[GeV]$) 

#: data_file: table_no_28.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle mean transverse momentum [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.99014,0.00088,-0.00088,0.00068,-0.00068,0.00943,-0.00943
15.0,10.0,20.0,1.026,0.001,-0.001,0.001,-0.001,0.01,-0.01
30.0,20.0,40.0,1.0727,0.0015,-0.0015,0.0012,-0.0012,0.0226,-0.0226
50.0,40.0,60.0,1.1255,0.0028,-0.0028,0.0017,-0.0017,0.0301,-0.0301
70.0,60.0,80.0,1.1617,0.0053,-0.0053,0.0033,-0.0033,0.0223,-0.0223
100.0,80.0,120.0,1.207,0.007,-0.007,0.004,-0.004,0.021,-0.021
160.0,120.0,200.0,1.273,0.013,-0.013,0.013,-0.013,0.025,-0.025
350.0,200.0,500.0,1.306,0.031,-0.031,0.021,-0.021,0.107,-0.107

