#: table_doi: 10.17182/hepdata.90831.v1/t26
#: name: table no 26
#: description: Figure 06a from auxiliary figures,  mean meanPt toward low thrust, toward region : low thrust ($T<0.75$) Mean of arithmetic mean of transverse momenta ($\langle mean p_{T} \rangle \pm stat. \pm syst.det.\pm syst.gen.[GeV]$) 

#: data_file: table_no_26.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle mean transverse momentum [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.0507,0.00056,-0.00056,0.00095,-0.00095,0.00208,-0.00208
15.0,10.0,20.0,1.077,0.00068,-0.00068,0.00103,-0.00103,0.00013,-0.00013
30.0,20.0,40.0,1.1056,0.00096,-0.00096,0.00119,-0.00119,0.00856,-0.00856
50.0,40.0,60.0,1.14,0.002,-0.002,0.002,-0.002,0.002,-0.002
70.0,60.0,80.0,1.1771,0.0041,-0.0041,0.0027,-0.0027,0.0009,-0.0009
100.0,80.0,120.0,1.1955,0.0052,-0.0052,0.0057,-0.0057,0.0048,-0.0048
160.0,120.0,200.0,1.2319,0.0098,-0.0098,0.0161,-0.0161,0.0164,-0.0164
350.0,200.0,500.0,1.323,0.025,-0.025,0.028,-0.028,0.0433,-0.0433

